alpha3,lon,lat,capacity,treatment_type
NLD,5.659,51.999,13917,tertiary
SVK,18.65,49.41,4155,tertiary
NLD,5.621,52.041,151100,tertiary
SVK,21.64,48.91,871,tertiary
NLD,5.972,52.24,163350,tertiary
SVK,22.09,48.41,2840,secondary
NLD,6.186,52.094,21283,tertiary
SVK,19.39,48.54,11268,tertiary
NLD,5.725,51.968,52517,tertiary
SVK,19.27,49.21,18416,tertiary
NLD,6.125,52.262,24600,tertiary
SVK,18.14,48.96,16586,secondary
NLD,6.041,52.486,35283,tertiary
SVK,17.23,48.04,12346,tertiary
NLD,5.956,51.76,13888,tertiary
SVK,17.67,47.96,28877,tertiary
NLD,5.276,51.887,25561,tertiary
SVK,18.24,47.99,897,secondary
NLD,5.11,51.883,4249,tertiary
SVK,19.82,48.28,4645,tertiary
NLD,5.783,51.91,4875,tertiary
SVK,17.58,47.93,1723,secondary
NLD,5.856,51.968,129900,tertiary
NLD,5.643,51.847,5976,tertiary
SVK,16.88,48.47,4433,secondary
NLD,5.214,51.961,32847,tertiary
SVK,17.71,48.18,14081,tertiary
NLD,5.8,51.75,5571,tertiary
SVK,17.11,48.73,1831,tertiary
NLD,5.797,51.851,236779,tertiary
SVK,19.59,48.35,1107,tertiary
NLD,5.434,51.918,54018,tertiary
SVK,18.76,48.75,11078,tertiary
NLD,5.635,51.921,23495,tertiary
SVK,18.76,48.54,3277,tertiary
NLD,5.593,51.894,22746,tertiary
NLD,5.128,51.798,8334,tertiary
SVK,19.96,48.56,2740,tertiary
SVK,17.15,48.8,11564,tertiary
NLD,5.523,51.831,2293,tertiary
SVK,20.37,49.02,2114,tertiary
NLD,5.17,51.898,5617,tertiary
NLD,5.713,51.936,3922,tertiary
SVK,20.31,49.0,963,secondary
NLD,5.455,51.975,7715,tertiary
SVK,19.49,48.56,11135,secondary
NLD,5.009,51.839,16046,tertiary
SVK,21.88,48.92,33849,tertiary
NLD,5.945,51.874,16613,tertiary
SVK,18.19,47.87,4211,tertiary
NLD,5.44,51.83,5315,tertiary
SVK,17.63,48.56,1955,secondary
SVK,18.22,49.0,3076,secondary
NLD,5.224,51.824,10005,tertiary
