hdi_bin,context,flushSewer,flushSeptic,flushPit,flushUnknown,flushOpen,pitSlab,pitNoSlab,hangingToilet,bucketLatrine,compostingToilet,openDefecation,other,n_observations
0.4,Urban,0.08510344827586207,0.09306896551724138,0.012344827586206896,0.009517241379310346,0.005758620689655173,0.30548275862068963,0.08689655172413793,0.0026551724137931034,0.0017586206896551726,0.004379310344827587,0.17113793103448277,0.2218965517241379,29
0.425,Urban,0.03540909090909091,0.06831818181818182,0.014545454545454545,0.004590909090909091,0.006,0.36727272727272725,0.12122727272727273,0.001590909090909091,0.0009545454545454544,0.005636363636363636,0.1084090909090909,0.26604545454545453,22
0.45,Urban,0.0801111111111111,0.09937037037037036,0.007888888888888888,0.00874074074074074,0.0016296296296296295,0.21807407407407406,0.14466666666666667,0.006148148148148148,0.012074074074074074,0.0023703703703703703,0.13203703703703704,0.28688888888888886,27
0.475,Urban,0.08637209302325581,0.09195348837209302,0.026139534883720932,0.0075116279069767445,0.013023255813953489,0.2737906976744186,0.10695348837209302,0.004604651162790698,0.004813953488372093,0.0010232558139534884,0.11034883720930233,0.2734651162790698,43
0.5,Urban,0.08023529411764706,0.1043921568627451,0.022274509803921566,0.009509803921568628,0.007078431372549019,0.1833137254901961,0.06172549019607843,0.0068823529411764705,0.0015098039215686275,0.0018431372549019608,0.09986274509803922,0.4213725490196078,51
0.525,Urban,0.15545945945945946,0.10145945945945946,0.028054054054054055,0.0029189189189189188,0.008297297297297297,0.2286216216216216,0.0535945945945946,0.0058108108108108104,0.0014054054054054054,0.003351351351351352,0.07200000000000001,0.33902702702702703,37
0.55,Urban,0.13835185185185186,0.12322222222222222,0.031,0.0037222222222222223,0.002925925925925926,0.2541111111111111,0.09955555555555556,0.0021296296296296298,0.0007962962962962964,0.0013703703703703705,0.09448148148148149,0.24833333333333332,54
0.575,Urban,0.20389130434782607,0.18932608695652173,0.04889130434782609,0.0030434782608695656,0.00817391304347826,0.25715217391304346,0.04395652173913043,0.0020652173913043477,0.001608695652173913,0.0016304347826086956,0.09956521739130435,0.14069565217391303,46
0.6,Urban,0.27407499999999996,0.21692499999999998,0.06405,0.00605,0.0036,0.11679999999999999,0.01615,0.000625,0.0014,0.00075,0.074,0.225575,40
0.625,Urban,0.34001818181818183,0.1651090909090909,0.021236363636363637,0.022109090909090908,0.005,0.23579999999999998,0.010472727272727274,0.002454545454545455,0.0009818181818181816,0.0018727272727272727,0.07498181818181818,0.11996363636363636,55
0.65,Urban,0.43477272727272726,0.15562121212121213,0.03424242424242424,0.036833333333333336,0.014530303030303032,0.1573181818181818,0.0008181818181818182,0.00036363636363636367,0.0005151515151515152,0.00656060606060606,0.028015151515151514,0.1304090909090909,66
0.675,Urban,0.5208382352941177,0.19297058823529412,0.031088235294117646,0.01911764705882353,0.0017499999999999998,0.11223529411764706,0.008058823529411764,0.0008088235294117647,0.0012352941176470588,0.0007499999999999999,0.024338235294117647,0.08680882352941176,68
0.7,Urban,0.45687012987012987,0.22277922077922077,0.02846753246753247,0.025792207792207793,0.002727272727272727,0.1417142857142857,0.004506493506493507,0.0004025974025974026,0.0003246753246753247,0.0005454545454545455,0.011922077922077922,0.10394805194805194,77
0.725,Urban,0.5344578313253012,0.17695180722891565,0.03106024096385542,0.0033253012048192775,0.0026265060240963857,0.11701204819277108,0.00272289156626506,1.2048192771084337e-05,0.0006506024096385542,8.433734939759036e-05,0.011192771084337349,0.11990361445783132,83
0.75,Urban,0.6434821428571428,0.15031250000000002,0.009035714285714286,0.012,0.0027767857142857143,0.14826785714285715,0.004,6.25e-05,0.00016964285714285714,0.0002232142857142857,0.007366071428571428,0.022303571428571426,112
0.775,Urban,0.5930102040816326,0.1604183673469388,0.010326530612244898,0.03038775510204082,0.0012755102040816326,0.12577551020408165,0.0025816326530612244,8.163265306122449e-05,0.0,0.0,0.00436734693877551,0.07177551020408163,98
0.8,Urban,0.6751944444444445,0.17268518518518516,0.012694444444444444,0.018694444444444444,0.001462962962962963,0.08557407407407407,0.0018055555555555557,0.0,7.407407407407407e-05,0.00037037037037037035,0.001138888888888889,0.030305555555555558,108
0.825,Urban,0.7236585365853659,0.1395,0.018121951219512194,1.2195121951219513e-05,0.0003414634146341464,0.10075609756097562,0.0,0.0001707317073170732,0.0,0.0,0.0007317073170731707,0.016707317073170733,82
0.85,Urban,0.7642959183673469,0.10941836734693879,0.009275510204081633,0.009795918367346938,0.00020408163265306123,0.0931938775510204,4.0816326530612245e-05,0.0,0.0,0.0,0.0007653061224489796,0.013010204081632653,98
0.875,Urban,0.8657674418604651,0.094,0.0008604651162790697,0.0,0.0,0.029193798449612403,0.0,0.0,0.0,0.0,0.0,0.01017829457364341,129
0.9,Urban,0.8577103448275861,0.08597241379310344,0.0003310344827586207,0.0010758620689655172,0.0,0.04038620689655172,0.0,0.0,0.0,0.0,0.0,0.014524137931034482,145
0.925,Urban,0.8835967741935484,0.06395967741935484,5.645161290322581e-05,0.0005403225806451613,0.0,0.040572580645161296,0.0,0.0,0.0,0.0,0.0,0.011274193548387096,124
0.95,Urban,0.9097083333333332,0.08287499999999999,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0002916666666666667,0.0,0.006875,24
