scenario,year,alpha3,bucketLatrine_urb,compostingToilet_urb,flushOpen_urb,flushPit_urb,flushSeptic_urb,flushSewer_urb,flushUnknown_urb,hangingToilet_urb,openDefecation_urb,other_urb,pitNoSlab_urb,pitSlab_urb,containerBased_urb,onsiteDumpedland_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,coverBury_urb,fecalSludgeTreated_urb,sewageTreated_urb,isWatertight_urb,hasLeach_urb,bucketLatrine_rur,compostingToilet_rur,flushOpen_rur,flushPit_rur,flushSeptic_rur,flushSewer_rur,flushUnknown_rur,hangingToilet_rur,openDefecation_rur,other_rur,pitNoSlab_rur,pitSlab_rur,containerBased_rur,onsiteDumpedland_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur,coverBury_rur,fecalSludgeTreated_rur,sewageTreated_rur,isWatertight_rur,hasLeach_rur
SSP2,2030,NLD,0.000,0.000,0.000,0.000,0.005,0.995,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.995,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.100,3.000,0.000,0.000,0.000,0.012,0.012,0.995,0.012,0.012
SSP2,2030,NOR,0.000,0.000,0.000,0.000,0.134,0.866,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.866,0.000,0.000,0.000,0.000,0.000,0.000,0.135,0.865,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.866,0.000,0.000
SSP2,2030,NPL,0.001,0.001,0.010,0.017,0.403,0.406,0.023,0.001,0.011,0.000,0.007,0.120,0.000,0.100,3.000,0.000,0.000,0.000,0.381,0.000,0.180,0.000,0.000,0.002,0.000,0.011,0.064,0.000,0.340,0.062,0.006,0.147,0.000,0.003,0.365,0.000,0.100,3.000,0.000,0.000,0.000,0.513,0.000,0.180,0.000,0.000
SSP2,2030,NRU,0.001,0.000,0.002,0.032,0.039,0.740,0.032,0.000,0.003,0.007,0.003,0.141,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.008,0.094,0.076,0.448,0.043,0.001,0.033,0.012,0.001,0.281,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SSP2,2030,NZL,0.000,0.003,0.000,0.002,0.131,0.864,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.853,0.000,0.000,0.000,0.003,0.000,0.003,0.112,0.882,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.853,0.000,0.000
SSP2,2030,OMN,0.000,0.000,0.000,0.001,0.687,0.242,0.000,0.000,0.000,0.000,0.000,0.070,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.105,0.000,0.000,0.000,0.001,0.000,0.001,0.078,0.709,0.000,0.000,0.000,0.000,0.000,0.211,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.105,0.000,0.000
SSP2,2030,PAK,0.003,0.000,0.000,0.001,0.000,0.748,0.000,0.001,0.103,0.069,0.011,0.064,0.003,0.100,3.000,0.000,0.000,0.000,0.140,0.000,0.363,0.000,0.000,0.001,0.001,0.000,0.011,0.000,0.465,0.000,0.007,0.310,0.029,0.027,0.149,0.002,0.100,3.000,0.000,0.000,0.000,0.367,0.000,0.363,0.000,0.000
SSP2,2030,PAN,0.000,0.000,0.000,0.002,0.366,0.493,0.000,0.000,0.000,0.026,0.001,0.112,0.851,0.100,3.000,0.000,0.000,0.000,0.128,0.079,0.491,0.079,0.079,0.000,0.001,0.000,0.001,0.321,0.540,0.000,0.000,0.000,0.000,0.000,0.137,0.421,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.491,0.000,0.000
SSP2,2030,PCN,0.000,0.000,0.000,0.012,0.059,0.743,0.027,0.000,0.000,0.022,0.000,0.137,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.045,0.035,0.619,0.028,0.000,0.010,0.042,0.002,0.215,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SSP2,2030,PER,0.000,0.000,0.000,0.005,0.079,0.789,0.001,0.000,0.000,0.071,0.004,0.051,0.000,0.100,3.000,0.000,0.000,0.000,0.022,0.018,0.757,0.018,0.018,0.000,0.000,0.000,0.000,0.035,0.644,0.003,0.000,0.000,0.266,0.000,0.052,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.757,0.000,0.000
SSP2,2030,PHL,0.000,0.000,0.000,0.010,0.678,0.258,0.000,0.000,0.000,0.000,0.000,0.054,0.000,0.100,3.000,0.000,0.000,0.000,0.518,0.000,0.182,0.000,0.000,0.000,0.000,0.000,0.029,0.740,0.149,0.000,0.000,0.000,0.000,0.000,0.082,0.000,0.100,3.000,0.000,0.000,0.000,0.666,0.000,0.182,0.000,0.000
SSP2,2030,PLW,0.000,0.000,0.000,0.001,0.003,0.913,0.079,0.000,0.000,0.000,0.000,0.004,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.841,0.159,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SSP2,2030,PNG,0.002,0.000,0.001,0.004,0.000,0.831,0.009,0.001,0.061,0.009,0.016,0.066,0.000,0.100,3.000,0.000,0.000,0.000,0.074,0.042,0.178,0.042,0.042,0.000,0.001,0.000,0.014,0.000,0.439,0.000,0.008,0.368,0.000,0.053,0.117,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.178,0.000,0.000
SSP2,2030,POL,0.000,0.000,0.000,0.000,0.248,0.752,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.813,0.000,0.000,0.000,0.000,0.000,0.000,0.007,0.993,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.813,0.000,0.000
SSP2,2030,PRI,0.000,0.000,0.001,0.004,0.000,0.968,0.007,0.000,0.001,0.002,0.000,0.017,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.968,0.000,0.000,0.000,0.000,0.003,0.018,0.000,0.899,0.015,0.000,0.011,0.005,0.000,0.049,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.968,0.000,0.000
SSP2,2030,PRK,0.002,0.000,0.003,0.032,0.074,0.647,0.057,0.000,0.001,0.025,0.000,0.159,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.512,0.000,0.000,0.002,0.002,0.010,0.101,0.100,0.380,0.063,0.000,0.042,0.031,0.001,0.268,0.000,0.100,3.000,0.000,0.000,0.000,0.000,0.000,0.512,0.000,0.000
SSP2,2030,PRT,0.000,0.002,0.000,0.002,0.388,0.608,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.029,0.004,0.684,0.004,0.004,0.000,0.004,0.000,0.003,0.010,0.983,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.100,3.000,0.000,0.000,0.000,0.115,0.009,0.684,0.009,0.009
SSP2,2030,PRY,0.000,0.000,0.000,0.018,0.472,0.193,0.006,0.000,0.000,0.007,0.000,0.304,0.000,0.100,3.000,0.000,0.000,0.000,0.470,0.000,0.191,0.000,0.000,0.000,0.003,0.000,0.027,0.081,0.243,0.002,0.000,0.000,0.008,0.000,0.636,0.000,0.100,3.000,0.000,0.000,0.000,0.590,0.000,0.191,0.000,0.000
