alpha3,flushSewer_urb,flushSeptic_urb,flushPit_urb,flushOpen_urb,flushUnknown_urb,pitSlab_urb,pitNoSlab_urb,bucketLatrine_urb,hangingToilet_urb,openDefecation_urb,containerBased_urb,compostingToilet_urb,other_urb,coverBury_urb,sewageTreated_urb,fecalSludgeTreated_urb,isWatertight_urb,hasLeach_urb,onsiteDumpedland_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,flushSewer_rur,flushSeptic_rur,flushPit_rur,flushOpen_rur,flushUnknown_rur,pitSlab_rur,pitNoSlab_rur,bucketLatrine_rur,hangingToilet_rur,openDefecation_rur,containerBased_rur,compostingToilet_rur,other_rur,coverBury_rur,sewageTreated_rur,fecalSludgeTreated_rur,isWatertight_rur,hasLeach_rur,onsiteDumpedland_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur
SVK,0.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.052,0.650,0.051,0.051,0.051,0.100,3,0,0,0,0.974,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.121,0.650,0.118,0.118,0.118,0.100,3,0,0,0
SVN,0.000,0.000,0.000,0.000,0.000,0.999,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.517,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.997,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.000,0.517,0.000,0.000,0.000,0.100,3,0,0,0
SWE,0.901,0.093,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.004,0.860,0.060,0.060,0.060,0.100,3,0,0,0,0.748,0.241,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.010,0.860,0.157,0.157,0.157,0.100,3,0,0,0
SWZ,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.016,0.000,0.000,0.984,0.000,0.018,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.000,0.000,0.971,0.000,0.018,0.000,0.000,0.000,0.100,3,0,0,0
SYR,0.993,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.314,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.314,0.000,0.000,0.000,0.100,3,0,0,0
TCD,0.017,0.027,0.017,0.001,0.000,0.331,0.396,0.003,0.059,0.138,0.000,0.010,0.001,0.315,0.018,0.000,0.000,0.000,0.100,3,0,0,0,0.003,0.001,0.001,0.026,0.003,0.042,0.074,0.014,0.038,0.770,0.000,0.020,0.007,0.041,0.018,0.000,0.000,0.000,0.100,3,0,0,0
TGO,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.151,0.000,0.000,0.849,0.071,0.018,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.496,0.000,0.000,0.504,0.047,0.018,0.000,0.000,0.000,0.100,3,0,0,0
THA,0.000,0.000,0.000,0.000,0.412,0.587,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.201,0.058,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.293,0.706,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.181,0.058,0.000,0.000,0.000,0.100,3,0,0,0
TKM,0.521,0.038,0.040,0.005,0.000,0.396,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.262,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.009,0.026,0.006,0.001,0.958,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.262,0.000,0.000,0.000,0.100,3,0,0,0
TLS,0.000,0.432,0.000,0.000,0.076,0.355,0.086,0.000,0.000,0.044,0.000,0.000,0.007,0.000,0.019,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.134,0.210,0.037,0.022,0.170,0.019,0.009,0.069,0.319,0.000,0.011,0.000,0.000,0.019,0.000,0.000,0.000,0.100,3,0,0,0
TTO,0.318,0.611,0.000,0.001,0.007,0.048,0.012,0.000,0.000,0.001,0.000,0.000,0.002,0.000,0.050,0.000,0.000,0.000,0.100,3,0,0,0,0.028,0.833,0.000,0.000,0.000,0.134,0.004,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.050,0.000,0.000,0.000,0.100,3,0,0,0
TUN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.998,0.076,0.491,0.011,0.011,0.011,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.988,0.531,0.491,0.000,0.000,0.000,0.100,3,0,0,0
TUR,0.970,0.000,0.000,0.000,0.000,0.025,0.002,0.000,0.000,0.001,0.000,0.000,0.001,0.011,0.521,0.010,0.010,0.010,0.100,3,0,0,0,0.572,0.000,0.000,0.000,0.000,0.387,0.028,0.000,0.000,0.004,0.000,0.000,0.009,0.188,0.521,0.159,0.159,0.159,0.100,3,0,0,0
TUV,0.002,0.924,0.020,0.005,0.000,0.000,0.002,0.017,0.000,0.017,0.000,0.013,0.000,0.347,0.000,0.000,0.000,0.000,0.100,3,0,0,0,0.001,0.873,0.048,0.000,0.000,0.003,0.002,0.045,0.000,0.024,0.000,0.000,0.004,0.421,0.000,0.000,0.000,0.000,0.100,3,0,0,0
TZA,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.998,0.338,0.007,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.032,0.000,0.000,0.968,0.197,0.007,0.000,0.000,0.000,0.100,3,0,0,0
UGA,0.036,0.066,0.011,0.006,0.003,0.548,0.288,0.000,0.030,0.007,0.000,0.003,0.000,0.218,0.001,0.000,0.000,0.000,0.100,3,0,0,0,0.002,0.002,0.004,0.000,0.001,0.279,0.629,0.000,0.005,0.067,0.000,0.011,0.001,0.161,0.001,0.000,0.000,0.000,0.100,3,0,0,0
UKR,0.953,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.047,0.134,0.216,0.088,0.088,0.088,0.100,3,0,0,0,0.642,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.358,0.000,0.216,0.000,0.000,0.000,0.100,3,0,0,0
URY,0.645,0.316,0.000,0.001,0.000,0.031,0.000,0.000,0.000,0.003,0.000,0.000,0.005,0.000,0.204,0.000,0.000,0.000,0.100,3,0,0,0,0.007,0.874,0.000,0.011,0.000,0.090,0.000,0.000,0.000,0.007,0.000,0.000,0.010,0.000,0.204,0.000,0.000,0.000,0.100,3,0,0,0
USA,0.953,0.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.022,0.801,0.022,0.022,0.022,0.100,3,0,0,0,0.417,0.567,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.015,0.000,0.801,0.000,0.000,0.000,0.100,3,0,0,0
UZB,0.329,0.004,0.071,0.014,0.002,0.550,0.029,0.000,0.000,0.000,0.000,0.000,0.002,0.432,0.229,0.000,0.000,0.000,0.100,3,0,0,0,0.018,0.004,0.092,0.013,0.002,0.802,0.067,0.000,0.001,0.000,0.000,0.000,0.001,0.850,0.229,0.000,0.000,0.000,0.100,3,0,0,0
VCT,0.034,0.769,0.000,0.000,0.000,0.173,0.000,0.000,0.000,0.016,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.100,3,0,0,0,0.021,0.602,0.000,0.000,0.000,0.323,0.000,0.000,0.000,0.048,0.000,0.000,0.006,0.000,0.000,0.000,0.000,0.000,0.100,3,0,0,0
VEN,0.776,0.179,0.000,0.000,0.008,0.009,0.000,0.000,0.000,0.027,0.000,0.000,0.000,0.000,0.225,0.000,0.000,0.000,0.100,3,0,0,0,0.097,0.526,0.000,0.000,0.044,0.051,0.000,0.000,0.000,0.282,0.000,0.000,0.000,0.000,0.225,0.000,0.000,0.000,0.100,3,0,0,0
VNM,0.074,0.863,0.035,0.003,0.002,0.002,0.001,0.001,0.010,0.004,0.000,0.001,0.003,0.382,0.012,0.000,0.000,0.000,0.100,3,0,0,0,0.030,0.732,0.058,0.007,0.001,0.050,0.011,0.003,0.045,0.038,0.000,0.022,0.004,0.444,0.012,0.000,0.000,0.000,0.100,3,0,0,0
VUT,0.000,0.718,0.114,0.000,0.008,0.120,0.035,0.000,0.000,0.000,0.000,0.005,0.000,0.084,0.000,0.215,0.215,0.215,0.100,3,0,0,0,0.018,0.027,0.027,0.000,0.000,0.467,0.255,0.000,0.000,0.021,0.000,0.000,0.185,0.000,0.000,0.000,0.000,0.000,0.100,3,0,0,0
WSM,0.000,0.956,0.000,0.000,0.034,0.005,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.367,0.001,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.855,0.000,0.000,0.109,0.023,0.012,0.000,0.000,0.001,0.000,0.000,0.000,0.443,0.001,0.000,0.000,0.000,0.100,3,0,0,0
YEM,0.000,0.000,0.000,0.000,0.000,0.729,0.000,0.000,0.000,0.016,0.000,0.000,0.255,0.033,0.143,0.028,0.028,0.028,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.235,0.000,0.000,0.000,0.131,0.000,0.000,0.634,0.000,0.143,0.000,0.000,0.000,0.100,3,0,0,0
ZAF,0.853,0.020,0.000,0.000,0.000,0.112,0.000,0.010,0.000,0.003,0.000,0.000,0.002,0.024,0.531,0.023,0.023,0.023,0.100,3,0,0,0,0.049,0.067,0.000,0.000,0.000,0.862,0.000,0.003,0.000,0.014,0.000,0.001,0.003,0.000,0.531,0.000,0.000,0.000,0.100,3,0,0,0
ZMB,0.172,0.144,0.039,0.007,0.005,0.430,0.192,0.000,0.000,0.010,0.000,0.000,0.001,0.000,0.018,0.000,0.000,0.000,0.100,3,0,0,0,0.005,0.014,0.001,0.000,0.001,0.356,0.467,0.000,0.000,0.155,0.000,0.000,0.000,0.304,0.018,0.000,0.000,0.000,0.100,3,0,0,0
ZWE,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.000,0.991,0.048,0.053,0.004,0.004,0.004,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.105,0.000,0.000,0.895,0.299,0.053,0.000,0.000,0.000,0.100,3,0,0,0
