alpha3,flushSewer_urb,flushSeptic_urb,flushPit_urb,flushOpen_urb,flushUnknown_urb,pitSlab_urb,pitNoSlab_urb,bucketLatrine_urb,hangingToilet_urb,openDefecation_urb,containerBased_urb,compostingToilet_urb,other_urb,coverBury_urb,sewageTreated_urb,fecalSludgeTreated_urb,isWatertight_urb,hasLeach_urb,onsiteDumpedland_urb,emptyFrequency_urb,pitAdditive_urb,urine_urb,twinPits_urb,flushSewer_rur,flushSeptic_rur,flushPit_rur,flushOpen_rur,flushUnknown_rur,pitSlab_rur,pitNoSlab_rur,bucketLatrine_rur,hangingToilet_rur,openDefecation_rur,containerBased_rur,compostingToilet_rur,other_rur,coverBury_rur,sewageTreated_rur,fecalSludgeTreated_rur,isWatertight_rur,hasLeach_rur,onsiteDumpedland_rur,emptyFrequency_rur,pitAdditive_rur,urine_rur,twinPits_rur
CZE,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.770,0.000,0.000,0.000,0.100,3,0,0,0,0.991,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.770,0.000,0.000,0.000,0.100,3,0,0,0
DJI,0.066,0.145,0.015,0.012,0.000,0.465,0.270,0.000,0.000,0.016,0.000,0.000,0.011,0.418,0.007,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.306,0.000,0.000,0.000,0.694,0.000,0.000,0.003,0.209,0.007,0.000,0.000,0.000,0.100,3,0,0,0
DNK,0.991,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.904,0.000,0.000,0.000,0.100,3,0,0,0,0.999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.904,0.000,0.000,0.000,0.100,3,0,0,0
DOM,0.242,0.654,0.000,0.004,0.038,0.047,0.007,0.000,0.000,0.010,0.000,0.000,0.000,0.313,0.120,0.000,0.000,0.000,0.100,3,0,0,0,0.029,0.614,0.000,0.001,0.006,0.262,0.034,0.000,0.000,0.054,0.000,0.000,0.000,0.459,0.120,0.000,0.000,0.000,0.100,3,0,0,0
DZA,0.974,0.016,0.000,0.007,0.007,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.127,0.001,0.001,0.001,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.122,0.127,0.025,0.025,0.025,0.100,3,0,0,0
ECU,0.818,0.158,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.001,0.082,0.138,0.004,0.004,0.004,0.100,3,0,0,0,0.234,0.550,0.098,0.000,0.000,0.000,0.000,0.000,0.000,0.083,0.000,0.000,0.035,0.539,0.138,0.000,0.000,0.000,0.100,3,0,0,0
EGY,0.903,0.026,0.000,0.001,0.054,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.015,0.002,0.378,0.001,0.001,0.001,0.100,3,0,0,0,0.519,0.164,0.000,0.005,0.252,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.055,0.121,0.378,0.094,0.094,0.094,0.100,3,0,0,0
ERI,0.101,0.117,0.021,0.000,0.000,0.103,0.000,0.000,0.000,0.342,0.000,0.000,0.316,0.000,0.007,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.011,0.006,0.000,0.000,0.055,0.000,0.000,0.000,0.902,0.000,0.000,0.026,0.000,0.007,0.000,0.000,0.000,0.100,3,0,0,0
ESP,0.999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.960,0.000,0.000,0.000,0.100,3,0,0,0,0.999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.960,0.000,0.000,0.000,0.100,3,0,0,0
EST,0.966,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.788,0.003,0.003,0.003,0.100,3,0,0,0,0.479,0.466,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.055,0.000,0.788,0.000,0.000,0.000,0.100,3,0,0,0
ETH,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.198,0.000,0.000,0.802,0.169,0.007,0.000,0.000,0.000,0.100,3,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.417,0.000,0.000,0.583,0.041,0.007,0.000,0.000,0.000,0.100,3,0,0,0
FIN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.830,0.000,0.000,0.000,0.100,3,0,0,0,0.992,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.830,0.000,0.000,0.000,0.100,3,0,0,0
FLK,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.204,0.000,0.000,0.000,0.100,3,0,0,0,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.204,0.000,0.000,0.000,0.100,3,0,0,0
FRA,0.996,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.777,0.000,0.000,0.000,0.100,3,0,0,0,0.995,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.777,0.000,0.000,0.000,0.100,3,0,0,0
