region;flushSewer;flushSeptic;flushPit;flushOpen;flushUnknown;pitSlab;pitNoSlab;bucketLatrine;hangingToilet;openDefecation;containerBased;compostingToilet;other;coverBury;sewageTreated;fecalSludgeTreated;isWatertight;hasLeach;onsiteDumpedLand;emptyFrequency;pitAdditive;urine;twinPits;warning
ERI;0.0;0.011;0.006;0.0;0.0;0.055;0.0;0.0;0.0;0.902;;0.0;0.026;;;;;;0.1;3;0;0;0;
ESP;0.999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.001;;;;;;0.1;3;0;0;0;
EST;0.479;0.466;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.055;;0.4582673436789987;;;;0.1;3;0;0;0;
ETH;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.417;;0.0;0.583;0.041338964342777354;0.000902437366464338;0.0;0.0;0.0;0.1;3;0;0;0;
FIN;0.992;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.008;;;;;;0.1;3;0;0;0;
FJI;0.05;0.692;0.135;0.004;0.0;0.086;0.025;0.002;0.0;0.004;;0.0;0.002;0.5583016581687874;0.01496953496137373;0.0;0.0;0.0;0.1;3;0;0;0;
FLK;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
FRA;0.995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.005;;;;;;0.1;3;0;0;0;
GAB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.025;;0.0;0.975;;;;;;0.1;3;0;0;0;
GBR;0.993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.007;0.02949250321762411;0.8767777303591928;0.02949250321762411;0.02949250321762411;0.02949250321762411;0.1;3;0;0;0;
GEO;0.085;0.0;0.0;0.175;0.0;0.739;0.0;0.0;0.0;0.0;;0.0;0.0;0.375993658079446;0.01568525567762966;0.0;0.0;0.0;0.1;3;0;0;0;
GHA;0.002;0.0265;0.007;0.0;0.0;0.2405;0.069;0.0;0.005;0.368;;0.0005;0.2995;0.183303105596889;0.00036712883072280303;0.0;0.0;0.0;0.1;3;0;0;0;
GIN;0.0;0.013;0.004;0.0;0.001;0.317;0.511;0.001;0.003;0.149;;0.001;0.0;;;;;;0.1;3;0;0;0;
GMB;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005;;0.0;0.995;0.2261332474426857;0.0;0.0;0.0;0.0;0.1;3;0;0;0;
GNB;0.006;0.012;0.042;0.002;0.008;0.381;0.354;0.0;0.0;0.187;;0.008;0.0;0.10547036434822249;0.001236092380831365;0.0;0.0;0.0;0.1;3;0;0;0;
GRC;0.435;0.565;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.4414726104918485;;;;0.1;3;0;0;0;
GRD;0.033;0.552;0.0;0.0;0.0;0.398;0.0;0.0;0.0;0.006;;0.0;0.011;;;;;;0.1;3;0;0;0;
GTM;0.2;0.173;0.101;0.0;0.0;0.485;0.0;0.0;0.0;0.041;;0.0;0.0;;;;;;0.1;3;0;0;0;
GUF;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
GUY;0.026;0.704;0.014;0.001;0.0;0.236;0.014;0.0;0.001;0.004;;0.0;0.0;0.47291730379563923;0.006704300882615091;0.0;0.0;0.0;0.1;3;0;0;0;
HND;0.039;0.359;0.415;0.007;0.004;0.071;0.0;0.0;0.0;0.1;;0.0;0.005;0.6866658478775663;0.01856597203979054;0.0;0.0;0.0;0.1;3;0;0;0;
HRV;0.972;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.028;;;;;;0.1;3;0;0;0;
HTI;0.0;0.028;0.002;0.0;0.0;0.35900000000000004;0.237;0.0;0.012;0.358;;0.0;0.003;;;;;;0.1;3;0;0;0;
HUN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.08941993618449158;0.6280188251190193;0.08941993618449158;0.08941993618449158;0.08941993618449158;0.1;3;0;0;0;
IDN;0.0;0.0;0.0;0.0;0.0;0.76;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;Does not add up to 100%
IND;0.0;0.124;0.868;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.008;0.0;0.5681909264703286;0.00580204414396127;0.0;0.0;0.0;0.1;3;0;0;0;
IRL;0.207;0.673;0.0;0.0;0.0;0.088;0.0;0.0;0.0;0.0;;0.0;0.032;0.49978295532037614;0.20769160062857359;0.0;0.0;0.0;0.1;3;0;0;0;
IRN;0.054;0.005;0.0;0.0;0.0;0.901;0.0;0.0;0.0;0.029;;0.0;0.012;;0.000191349371970265;;;;0.1;3;0;0;0;
IRQ;0.028;0.702;0.0;0.0;0.008;0.154;0.03;0.0;0.0;0.003;;0.0;0.002;0.4066857986846993;0.0733052199644097;0.0;0.0;0.0;0.1;3;0;0;0;
ISL;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
ISR;0.0;0.0;0.0;0.0;0.0;0.99;0.0;0.0;0.0;0.0;;0.0;0.011;0.009892396907216394;0.9184702889908849;0.009621891122820492;0.009621891122820492;0.009621891122820492;0.1;3;0;0;0;
ITA;0.992;0.008;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.008;0.01613896458716959;0.7489054236610966;0.015708603396366608;0.015708603396366608;0.015708603396366608;0.1;3;0;0;0;
JAM;0.054;0.612;0.055;0.0;0.0;0.271;0.0;0.0;0.0;0.002;;0.0;0.005;;0.0226878006947216;;;;0.1;3;0;0;0;
JOR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;0.1985848351364993;;;;0.1;3;0;0;0;
JPN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
KAZ;0.043;0.091;0.01;0.0;0.0;0.855;0.0;0.0;0.0;0.0;;0.0;0.0;;0.01848419881901161;;;;0.1;3;0;0;0;
KEN;0.006500000000000001;0.02;0.038;0.0035;0.0005;0.443;0.3765;0.0005;0.002;0.0975;;0.0115;0.0005;0.32916677508734166;0.000385490050177193;0.0;0.0;0.0;0.1;3;0;0;0;
KGZ;0.01;0.005;0.104;0.0;0.0;0.879;0.001;0.0;0.0;0.0;;0.0;0.0;0.9645761967374429;0.0;0.0;0.0;0.0;0.1;3;0;0;0;
KHM;0.025;0.787;0.033;0.009;0.0;0.003;0.001;0.0;0.002;0.138;;0.001;0.001;0.3162894123658285;0.02431300170472218;0.0;0.0;0.0;0.1;3;0;0;0;
KIR;0.0;0.362;0.075;0.033;0.0;0.01;0.018;0.0;0.0;0.489;;0.0;0.001;0.2505362311439936;0.0;0.0;0.0;0.0;0.1;3;0;0;0;
KOR;0.429;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;Does not add up to 100%
LAO;0.001;0.14;0.332;0.0;0.0;0.008;0.029;0.001;0.0;0.482;;0.002;0.005;0.594285794819667;0.003699478948472955;0.0;0.0;0.0;0.1;3;0;0;0;
LBR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.345;;0.0;0.655;;;;;;0.1;3;0;0;0;
LBY;0.549;0.139;0.0;0.0;0.269;0.0;0.0;0.0;0.0;0.0;;0.0;0.043;;;;;;0.1;3;0;0;0;
LCA;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.11;;0.0;0.0;;;;;;0.1;3;0;0;0;Does not add up to 100%
LKA;0.021;0.017;0.919;0.002;0.0;0.024;0.002;0.0;0.0;0.011;;0.0;0.002;;;;;;0.1;3;0;0;0;
LSO;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.201;;0.0;0.799;0.508544478318645;0.001123567297678661;0.0;0.0;0.0;0.1;3;0;0;0;
LTU;0.77;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.23;0.05535442665273058;0.7945771388559173;0.05535442665273058;0.05535442665273058;0.05535442665273058;0.1;3;0;0;0;
LUX;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.04702710975032981;0.7909183635250205;0.046658871845856674;0.046658871845856674;0.046658871845856674;0.1;3;0;0;0;
LVA;0.833;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.167;;;;;;0.1;3;0;0;0;
MAR;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;1.0;;0.00076550822275693;;;;0.1;3;0;0;0;
MDA;0.029;0.608;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.363;;0.03160510131234593;;;;0.1;3;0;0;0;
MDG;0.003;0.014;0.002;0.001;0.0;0.25;0.344;0.0;0.002;0.384;;0.0;0.0;0.09577983124752774;0.001003457264313362;0.0;0.0;0.0;0.1;3;0;0;0;
MDV;0.51;0.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
MEX;0.406;0.527;0.0;0.016;0.0;0.026;0.0;0.0;0.0;0.021;;0.0;0.002;;0.254428784173559;;;;0.1;3;0;0;0;
MHL;0.03;0.567;0.029;0.007;0.0;0.02;0.0;0.0;0.0;0.347;;0.0;0.0;;;;;;0.1;3;0;0;0;
MKD;0.529;0.309;0.017;0.054;0.011;0.059;0.018;0.0;0.0;0.001;;0.0;0.002;0.1231080701882899;0.04510593426992184;0.011371893753353618;0.011371893753353618;0.011371893753353618;0.1;3;0;0;0;
MLI;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.153;;0.0;0.847;0.22928527475765162;0.0;0.0;0.0;0.0;0.1;3;0;0;0;
MLT;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
