region;flushSewer;flushSeptic;flushPit;flushOpen;flushUnknown;pitSlab;pitNoSlab;bucketLatrine;hangingToilet;openDefecation;containerBased;compostingToilet;other;coverBury;sewageTreated;fecalSludgeTreated;isWatertight;hasLeach;onsiteDumpedland;emptyFrequency;pitAdditive;urine;twinPits;warning
MMR;0.026;0.235;0.592;0.009;0.001;0.062;0.016;0.0;0.008;0.049;;0.0;0.002;0.6022752107113717;0.0038722837660722957;0.0;0.0;0.0;0.1;3;0;0;0;
MNE;0.45;0.42;0.0;0.05;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.08;0.1980018808623788;0.3466963805755242;0.02929857023124229;0.02929857023124229;0.02929857023124229;0.1;3;0;0;0;
MNG;0.269;0.013;0.002;0.0;0.011;0.641;0.034;0.0;0.0;0.026;;0.005;0.001;0.4605473774329588;0.19909372603552972;0.0;0.0;0.0;0.1;3;0;0;0;
MNP;0.506;0.476;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.018;;;;;;0.1;3;0;0;0;
MOZ;0.0045;0.043;0.0085;0.0035;0.0;0.1335;0.1625;0.0005;0.0;0.1485;;0.0005;0.495;;;;;;0.1;3;0;0;0;
MRT;0.025;0.0;0.192;0.0;0.017;0.243;0.127;0.0;0.0;0.388;;0.0;0.008;;;;;;0.1;3;0;0;0;
MSR;0.185;0.773;0.0;0.0;0.0;0.024;0.0;0.0;0.0;0.017;;0.0;0.001;;;;;;0.1;3;0;0;0;
MTQ;0.454;0.519;0.006;0.0;0.0;0.021;0.0;0.0;0.0;0.0;;0.0;0.0;;0.4637780702575185;;;;0.1;3;0;0;0;
MUS;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002;;0.0;0.998;;;;;;0.1;3;0;0;0;
MWI;0.0035;0.018000000000000002;0.001;0.0;0.0;0.5545;0.338;0.0;0.002;0.07300000000000001;;0.006;0.0035;0.4574141709244364;0.004493928657902415;0.0;0.0;0.0;0.1;3;0;0;0;
MYS;0.784;0.216;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.08296771385294222;0.7720623038855987;0.004655977797788003;0.004655977797788003;0.004655977797788003;0.1;3;0;0;0;
MYT;0.467;0.353;0.11;0.0;0.0;0.07;0.0;0.0;0.0;0.0;;0.0;0.0;;;;;;0.1;3;0;0;0;
NAM;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.323;;0.0;0.677;;;;;;0.1;3;0;0;0;
NER;0.009;0.018;0.033;0.003;0.001;0.116;0.126;0.0;0.04;0.644;;0.001;0.009;0.07379157446358936;0.007368956769307738;0.0;0.0;0.0;0.1;3;0;0;0;
NGA;0.05066666666666667;0.19699999999999998;0.08366666666666667;0.005;0.0023333333333333335;0.24266666666666667;0.17400000000000002;0.0016666666666666668;0.011333333333333334;0.215;;0.008333333333333333;0.008666666666666666;0.2897563638973722;0.02995936104315089;0.0;0.0;0.0;0.1;3;0;0;0;
NIC;0.287;0.191;0.0;0.002;0.375;0.098;0.0;0.0;0.0;0.047;;0.0;0.0;;;;;;0.1;3;0;0;0;
NIU;0.0;0.961;0.0;0.0;0.0;0.0;0.0;0.008;0.0;0.006;;0.0;0.0;;;;;;0.1;3;0;0;0;
NLD;0.995;0.005;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.000864550686102726;0.9732481041236647;0.000864550686102726;0.000864550686102726;0.000864550686102726;0.1;3;0;0;0;
NOR;0.429;0.0675;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0005;0.003;0.058368901035223866;0.6413971858198215;0.08093115399944267;0.08093115399944267;0.08093115399944267;0.1;3;0;0;0;Does not add up to 100%
NPL;0.105;0.531;0.247;0.007;0.002;0.039;0.002;0.0;0.0;0.05;;0.014;0.003;0.4847691681139856;0.02099517650540478;0.0;0.0;0.0;0.1;3;0;0;0;
NZL;0.818;0.182;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.040682028170842724;0.8074720659576703;0.0392340906743166;0.0392340906743166;0.0392340906743166;0.1;3;0;0;0;
OMN;0.259;0.0;0.739;0.0;0.001;0.0;0.0;0.0;0.0;0.001;;0.0;0.0;;0.2160711377785482;;;;0.1;3;0;0;0;
PAK;0.274;0.209;0.165;0.176;0.0;0.048;0.0;0.0;0.022;0.092;;0.002;0.011;0.2811237774815493;;;;;0.1;3;0;0;0;
PAN;0.0;0.0;0.0;0.0;0.0;0.239;0.0;0.0;0.0;0.042;;0.0;0.0;;0.2097696934654775;;;;0.1;3;0;0;0;Does not add up to 100%
PER;0.7226666666666667;0.05833333333333333;0.0;0.006666666666666665;0.0;0.08666666666666667;0.05933333333333333;0.0;0.0003333333333333333;0.036333333333333336;;0.0;0.03;0.049671339249587616;0.4842114066232777;0.04133475955146205;0.04133475955146205;0.04133475955146205;0.1;3;0;0;0;
PHL;0.052;0.779;0.07;0.006;0.0;0.02;0.014;0.001;0.008;0.045;;0.001;0.001;0.5947752647183867;0.0325708807434798;0.0;0.0;0.0;0.1;3;0;0;0;
PLW;0.832;0.0;0.0;0.0;0.113;0.051;0.0;0.0;0.0;0.0;;0.0;0.003;;;;;;0.1;3;0;0;0;
POL;0.712;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.288;0.0;0.77181390971091;0.207365790400553;0.207365790400553;0.207365790400553;0.1;3;0;0;0;
PRI;0.993;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.007;;0.0;0.0;0.0;0.3250916087980982;0.0;0.0;0.0;0.1;3;0;0;0;
PRK;0.446;0.096;0.027;0.001;0.0;0.272;0.158;0.0;0.0;0.0;;0.0;0.0;0.008688604256774125;;;;;0.1;3;0;0;0;
PRT;0.86;0.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.05680628071004709;0.8648496073402232;0.005904946156690269;0.005904946156690269;0.005904946156690269;0.1;3;0;0;0;
PRY;0.079;0.54;0.254;0.006;0.0;0.11399999999999999;0.0;0.0;0.0;0.006;;0.0;0.0;0.514589581873033;0.03734173488172502;0.0;0.0;0.0;0.1;3;0;0;0;
