alpha-3,context,bucketLatrine,compostingToilet,flushOpen,flushPit,flushSeptic,flushSewer,flushUnknown,hangingToilet,openDefecation,other,pitNoSlab,pitSlab,onsiteDumpedLand,emptyFrequency,pitAdditive,urine,twinPits
FJI,Rural,0.002,0.0,0.004,0.135,0.692,0.05,0.0,0.0,0.004,0.002,0.025,0.086,0.1,3,0,0,0
FJI,Urban,0.002,0.0,0.0,0.039,0.5936,0.3514,0.0,0.0,0.001,0.003,0.003,0.007,0.1,3,0,0,0
FLK,Rural,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
FLK,Urban,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
FRA,Rural,0.0,0.0,0.0,0.0,0.0,0.995,0.0,0.0,0.0,0.005,0.0,0.0,0.1,3,0,0,0
FRA,Urban,0.0,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.004,0.0,0.0,0.1,3,0,0,0
GAB,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.975,0.0,0.0,0.1,3,0,0,0
GAB,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.972,0.0,0.0,0.1,3,0,0,0
GBR,Rural,0.0,0.0,0.0,0.0,0.0,0.993,0.0,0.0,0.0,0.007,0.0,0.0,0.1,3,0,0,0
GBR,Urban,0.0,0.0,0.0,0.0,0.0,0.996,0.0,0.0,0.0,0.004,0.0,0.0,0.1,3,0,0,0
GEO,Rural,0.0,0.0,0.1752,0.0,0.0,0.0851,0.0,0.0,0.0,0.0,0.0,0.7397,0.1,3,0,0,0
GEO,Urban,0.0,0.0,0.024,0.0,0.0,0.91,0.0,0.0,0.0,0.0,0.0,0.066,0.1,3,0,0,0
GHA,Rural,0.0,0.003,0.0,0.0,0.0899,0.001,0.1708,0.0,0.3616,0.003,0.022,0.3487,0.1,3,0,0,0
GHA,Urban,0.0,0.002,0.0,0.0,0.3504,0.01,0.2382,0.0,0.1091,0.003,0.005,0.2823,0.1,3,0,0,0
GIN,Rural,0.001,0.001,0.0,0.004,0.013,0.0,0.001,0.003,0.149,0.0,0.511,0.317,0.1,3,0,0,0
GIN,Urban,0.0,0.0,0.004,0.059,0.234,0.01,0.002,0.0,0.002,0.0,0.04,0.649,0.1,3,0,0,0
GLP,Rural,0.0,0.0,0.0,0.3788,0.3116,0.1032,0.0,0.0,0.0,0.0,0.0,0.2064,0.1,3,0,0,0
GLP,Urban,0.0,0.0,0.0,0.166,0.427,0.357,0.0,0.0,0.0,0.006,0.0,0.044,0.1,3,0,0,0
GMB,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.995,0.0,0.0,0.1,3,0,0,0
GMB,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.997,0.0,0.0,0.1,3,0,0,0
GNB,Rural,0.0,0.001,0.007,0.005,0.027,0.0,0.0,0.001,0.1622,0.001,0.0,0.7958,0.1,3,0,0,0
GNB,Urban,0.0,0.002,0.003,0.097,0.315,0.028,0.004,0.001,0.005,0.0,0.0,0.545,0.1,3,0,0,0
GRC,Rural,0.0,0.0,0.0,0.0,0.565,0.435,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
GRC,Urban,0.0,0.0,0.0,0.0,0.097,0.903,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
GRD,Rural,0.0,0.0,0.0,0.0,0.552,0.033,0.0,0.0,0.006,0.011,0.0,0.398,0.1,3,0,0,0
GRD,Urban,0.0,0.0,0.0,0.0,0.376,0.507,0.0,0.0,0.017,0.008,0.0,0.092,0.1,3,0,0,0
GTM,Rural,0.0,0.0,0.0,0.101,0.173,0.2,0.0,0.0,0.041,0.0,0.0,0.485,0.1,3,0,0,0
GTM,Urban,0.0,0.0,0.0,0.063,0.078,0.771,0.0,0.0,0.006,0.0,0.0,0.082,0.1,3,0,0,0
GUF,Rural,0.0,0.0,0.0,0.102,0.24,0.114,0.0,0.0,0.0,0.002,0.0,0.542,0.1,3,0,0,0
GUF,Urban,0.0,0.0,0.0,0.044,0.426,0.411,0.0,0.0,0.0,0.016,0.0,0.103,0.1,3,0,0,0
GUY,Rural,0.0,0.0,0.001,0.014,0.704,0.026,0.0,0.001,0.004,0.0,0.014,0.236,0.1,3,0,0,0
GUY,Urban,0.001,0.0,0.004,0.016,0.7525,0.0752,0.001,0.001,0.003,0.001,0.009,0.1363,0.1,3,0,0,0
HND,Rural,0.0,0.0,0.007,0.415,0.359,0.039,0.004,0.0,0.1,0.005,0.0,0.071,0.1,3,0,0,0
HND,Urban,0.0,0.0,0.016,0.0739,0.2238,0.6214,0.003,0.0,0.019,0.007,0.0,0.036,0.1,3,0,0,0
HRV,Rural,0.0,0.0,0.0,0.0,0.0,0.972,0.0,0.0,0.0,0.028,0.0,0.0,0.1,3,0,0,0
HRV,Urban,0.0,0.0,0.0,0.0,0.0,0.991,0.0,0.0,0.0,0.009,0.0,0.0,0.1,3,0,0,0
HTI,Rural,0.0,0.0,0.0,0.002,0.028,0.0,0.0,0.012,0.3584,0.003,0.2372,0.3594,0.1,3,0,0,0
HTI,Urban,0.0,0.0,0.001,0.023,0.2455,0.006,0.001,0.01,0.0932,0.004,0.0982,0.518,0.1,3,0,0,0
HUN,Rural,0.0,0.0,0.0,0.0,0.0,0.585,0.0,0.0,0.0,0.415,0.0,0.0,0.1,3,0,0,0
HUN,Urban,0.0,0.0,0.0,0.0,0.0,0.891,0.0,0.0,0.0,0.109,0.0,0.0,0.1,3,0,0,0
IDN,Rural,0.0,0.0,0.0,0.0,0.7333,0.003,0.0,0.0,0.0719,0.002,0.0,0.1898,0.1,3,0,0,0
IDN,Urban,0.0,0.0,0.0,0.0,0.8681,0.011,0.0,0.0,0.0769,0.003,0.0,0.041,0.1,3,0,0,0
IND,Rural,0.0,0.064,0.006,0.151,0.402,0.028,0.001,0.0,0.255,0.002,0.014,0.077,0.1,3,0,0,0
IND,Urban,0.0,0.011,0.014,0.072,0.533,0.253,0.003,0.0,0.061,0.005,0.005,0.043,0.1,3,0,0,0
IRL,Rural,0.0,0.0,0.0,0.0,0.673,0.207,0.0,0.0,0.0,0.032,0.0,0.088,0.1,3,0,0,0
IRL,Urban,0.0,0.0,0.0,0.0,0.021,0.917,0.0,0.0,0.0,0.056,0.0,0.006,0.1,3,0,0,0
IRN,Rural,0.0,0.0,0.0,0.0,0.005,0.0539,0.0,0.0,0.029,0.012,0.0,0.9001,0.1,3,0,0,0
IRN,Urban,0.0,0.0,0.0,0.0,0.005,0.39,0.0,0.0,0.004,0.007,0.0,0.594,0.1,3,0,0,0
IRQ,Rural,0.0,0.0,0.0,0.0,0.7573,0.0302,0.0086,0.0,0.0032,0.0022,0.0324,0.1661,0.1,3,0,0,0
IRQ,Urban,0.0,0.0,0.0,0.0,0.5752,0.3982,0.002,0.0,0.0,0.001,0.002,0.0215,0.1,3,0,0,0
ISL,Rural,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
ISL,Urban,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
ITA,Rural,0.0,0.0,0.0,0.0,0.0079,0.9841,0.0,0.0,0.0,0.0079,0.0,0.0,0.1,3,0,0,0
ITA,Urban,0.0,0.0,0.0,0.0,0.007,0.9861,0.0,0.0,0.0,0.007,0.0,0.0,0.1,3,0,0,0
JAM,Rural,0.0,0.0,0.0,0.0551,0.6126,0.0541,0.0,0.0,0.002,0.005,0.0,0.2713,0.1,3,0,0,0
JAM,Urban,0.0,0.0,0.0,0.068,0.514,0.284,0.0,0.0,0.001,0.011,0.0,0.122,0.1,3,0,0,0
JOR,Rural,0.0,0.0,0.002,0.0,0.6406,0.2773,0.0,0.0,0.0,0.0,0.0,0.0801,0.1,3,0,0,0
JOR,Urban,0.0,0.0,0.0,0.0,0.2272,0.7317,0.0,0.0,0.0,0.0,0.0,0.041,0.1,3,0,0,0
JPN,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,3,0,0,0
JPN,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,3,0,0,0
KAZ,Rural,0.0,0.0,0.0,0.01,0.0911,0.043,0.0,0.0,0.0,0.0,0.0,0.8559,0.1,3,0,0,0
KAZ,Urban,0.0,0.0,0.0,0.003,0.0911,0.6827,0.0,0.0,0.0,0.001,0.0,0.2222,0.1,3,0,0,0
KEN,Rural,0.0,0.016,0.006,0.021,0.021,0.003,0.0,0.001,0.103,0.001,0.401,0.427,0.1,3,0,0,0
KEN,Urban,0.0,0.009,0.008,0.044,0.16,0.192,0.012,0.0,0.003,0.001,0.167,0.404,0.1,3,0,0,0
KGZ,Rural,0.0,0.0,0.0,0.1041,0.005,0.01,0.0,0.0,0.0,0.0,0.001,0.8799,0.1,3,0,0,0
KGZ,Urban,0.0,0.0,0.0,0.061,0.023,0.477,0.001,0.0,0.0,0.0,0.0,0.438,0.1,3,0,0,0
KHM,Rural,0.0,0.001,0.009,0.033,0.787,0.025,0.0,0.002,0.138,0.001,0.001,0.003,0.1,3,0,0,0
KHM,Urban,0.0,0.0,0.006,0.012,0.5754,0.3706,0.001,0.006,0.029,0.0,0.0,0.0,0.1,3,0,0,0
KIR,Rural,0.011,0.006,0.026,0.1269,0.2957,0.008,0.017,0.0,0.4875,0.0,0.014,0.008,0.1,3,0,0,0
KIR,Urban,0.0649,0.005,0.0,0.0789,0.4635,0.0719,0.002,0.0,0.3057,0.0,0.008,0.0,0.1,3,0,0,0
KNA,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,3,0,0,0
KNA,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,3,0,0,0
KOR,Rural,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.965,0.0,0.02,0.1,3,0,0,0
KOR,Urban,0.0,0.0,0.0,0.0,0.0,0.649,0.0,0.0,0.0,0.241,0.0,0.11,0.1,3,0,0,0
LAO,Rural,0.0,0.001,0.015,0.5704,0.0549,0.009,0.009,0.0,0.3257,0.006,0.004,0.005,0.1,3,0,0,0
LAO,Urban,0.0,0.0,0.013,0.6987,0.2232,0.013,0.005,0.0,0.042,0.003,0.0,0.002,0.1,3,0,0,0
LBR,Rural,0.002,0.006,0.006,0.046,0.0631,0.002,0.001,0.021,0.6076,0.001,0.1431,0.1011,0.1,3,0,0,0
LBR,Urban,0.006,0.003,0.015,0.1029,0.4346,0.014,0.002,0.0599,0.1568,0.002,0.0939,0.1099,0.1,3,0,0,0
LBY,Rural,0.0,0.0,0.0,0.0,0.139,0.549,0.269,0.0,0.0,0.043,0.0,0.0,0.1,3,0,0,0
LBY,Urban,0.0,0.0,0.0,0.0,0.068,0.542,0.358,0.0,0.0,0.032,0.0,0.0,0.1,3,0,0,0
LCA,Rural,0.001,0.0,0.0,0.004,0.71,0.038,0.002,0.0,0.009,0.0,0.001,0.235,0.1,3,0,0,0
LCA,Urban,0.011,0.0,0.0,0.0,0.738,0.11,0.002,0.0,0.052,0.003,0.0,0.084,0.1,3,0,0,0
LKA,Rural,0.0,0.0,0.0015,0.4376,0.0434,0.0045,0.0,0.0,0.002,0.03455,0.001,0.47545,0.1,3,0,0,0
LKA,Urban,0.0,0.0,0.00835,0.34185,0.11395,0.03485,0.0,0.0,0.0005,0.02605,0.0,0.47445,0.1,3,0,0,0
LSO,Rural,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201,0.799,0.0,0.0,0.1,3,0,0,0
LSO,Urban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.066,0.934,0.0,0.0,0.1,3,0,0,0
LTU,Rural,0.0,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.0,0.23,0.0,0.0,0.1,3,0,0,0
LTU,Urban,0.0,0.0,0.0,0.0,0.0,0.973,0.0,0.0,0.0,0.027,0.0,0.0,0.1,3,0,0,0
LUX,Rural,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3,0,0,0
