alpha3,scenario,year,fractionUrban
CAF,SSP3,2030,0.389
CAF,SSP3,2050,0.389
CAF,SSP3,2100,0.389
TCD,SSP3,2025,0.271
TCD,SSP3,2030,0.289
TCD,SSP3,2050,0.357
TCD,SSP3,2100,0.531
CHL,SSP3,2025,0.896
CHL,SSP3,2030,0.903
CHL,SSP3,2050,0.933
CHL,SSP3,2100,0.981
CHN,SSP3,2025,0.569
CHN,SSP3,2030,0.591
CHN,SSP3,2050,0.675
CHN,SSP3,2100,0.794
COL,SSP3,2025,0.807
COL,SSP3,2030,0.814
COL,SSP3,2050,0.836
COL,SSP3,2100,0.901
COM,SSP3,2025,0.28
COM,SSP3,2030,0.28
COM,SSP3,2050,0.28
COM,SSP3,2100,0.28
COG,SSP3,2025,0.633
COG,SSP3,2030,0.633
COG,SSP3,2050,0.633
COG,SSP3,2100,0.633
COK,SSP3,2025,0.733
COK,SSP3,2030,0.733
COK,SSP3,2050,0.733
COK,SSP3,2100,0.733
CRI,SSP3,2025,0.717
CRI,SSP3,2030,0.717
CRI,SSP3,2050,0.717
CRI,SSP3,2100,0.717
HRV,SSP3,2025,0.552
HRV,SSP3,2030,0.552
HRV,SSP3,2050,0.552
HRV,SSP3,2100,0.552
CUB,SSP3,2025,0.787
CUB,SSP3,2030,0.794
CUB,SSP3,2050,0.818
CUB,SSP3,2100,0.869
CUW,SSP3,2025,0.899
CUW,SSP3,2030,0.899
CUW,SSP3,2050,0.899
CUW,SSP3,2100,0.899
CYP,SSP3,2025,0.676
CYP,SSP3,2030,0.676
CYP,SSP3,2050,0.676
CYP,SSP3,2100,0.676
CZE,SSP3,2025,0.76
CZE,SSP3,2030,0.768
CZE,SSP3,2050,0.795
CZE,SSP3,2100,0.846
CIV,SSP3,2025,0.539
CIV,SSP3,2030,0.557
CIV,SSP3,2050,0.624
CIV,SSP3,2100,0.75
COD,SSP3,2025,0.452
COD,SSP3,2030,0.47
COD,SSP3,2050,0.538
COD,SSP3,2100,0.692
DNK,SSP3,2025,0.868
DNK,SSP3,2030,0.868
DNK,SSP3,2050,0.868
DNK,SSP3,2100,0.868
DJI,SSP3,2025,0.77
DJI,SSP3,2030,0.77
DJI,SSP3,2050,0.77
DJI,SSP3,2100,0.77
DMA,SSP3,2025,0.681
DMA,SSP3,2030,0.681
DMA,SSP3,2050,0.681
DMA,SSP3,2100,0.681
DOM,SSP3,2025,0.777
DOM,SSP3,2030,0.787
DOM,SSP3,2050,0.82
DOM,SSP3,2100,0.878
ECU,SSP3,2025,0.677
ECU,SSP3,2030,0.691
ECU,SSP3,2050,0.738
ECU,SSP3,2100,0.811
EGY,SSP3,2025,0.482
EGY,SSP3,2030,0.499
EGY,SSP3,2050,0.565
EGY,SSP3,2100,0.714
SLV,SSP3,2025,0.655
SLV,SSP3,2030,0.655
SLV,SSP3,2050,0.655
SLV,SSP3,2100,0.655
GNQ,SSP3,2025,0.659
GNQ,SSP3,2030,0.659
GNQ,SSP3,2050,0.659
GNQ,SSP3,2100,0.659
ERI,SSP3,2025,0.352
ERI,SSP3,2030,0.352
ERI,SSP3,2050,0.352
ERI,SSP3,2100,0.352
EST,SSP3,2025,0.681
EST,SSP3,2030,0.681
EST,SSP3,2050,0.681
EST,SSP3,2100,0.681
SWZ,SSP3,2025,0.225
SWZ,SSP3,2030,0.225
SWZ,SSP3,2050,0.225
SWZ,SSP3,2100,0.225
ETH,SSP3,2025,0.221
ETH,SSP3,2030,0.238
ETH,SSP3,2050,0.306
ETH,SSP3,2100,0.483
FLK,SSP3,2025,0.737
FLK,SSP3,2030,0.737
FLK,SSP3,2050,0.737
FLK,SSP3,2100,0.737
FRO,SSP3,2025,0.409
FRO,SSP3,2030,0.409
FRO,SSP3,2050,0.409
FRO,SSP3,2100,0.409
FJI,SSP3,2025,0.522
FJI,SSP3,2030,0.522
FJI,SSP3,2050,0.522
FJI,SSP3,2100,0.522
FIN,SSP3,2025,0.838
FIN,SSP3,2030,0.838
FIN,SSP3,2050,0.838
FIN,SSP3,2100,0.838
FRA,SSP3,2025,0.803
FRA,SSP3,2030,0.808
FRA,SSP3,2050,0.829
FRA,SSP3,2100,0.887
GUF,SSP3,2025,0.829
GUF,SSP3,2030,0.829
GUF,SSP3,2050,0.829
GUF,SSP3,2100,0.829
PYF,SSP3,2025,0.603
PYF,SSP3,2030,0.603
PYF,SSP3,2050,0.603
PYF,SSP3,2100,0.603
GAB,SSP3,2025,0.855
GAB,SSP3,2030,0.855
GAB,SSP3,2050,0.855
GAB,SSP3,2100,0.855
GMB,SSP3,2025,0.557
GMB,SSP3,2030,0.557
GMB,SSP3,2050,0.557
GMB,SSP3,2100,0.557
GEO,SSP3,2025,0.555
GEO,SSP3,2030,0.555
GEO,SSP3,2050,0.555
GEO,SSP3,2100,0.555
DEU,SSP3,2025,0.79
DEU,SSP3,2030,0.796
DEU,SSP3,2050,0.819
DEU,SSP3,2100,0.877
GHA,SSP3,2025,0.57
GHA,SSP3,2030,0.588
GHA,SSP3,2050,0.656
GHA,SSP3,2100,0.768
GRC,SSP3,2025,0.785
GRC,SSP3,2030,0.791
GRC,SSP3,2050,0.815
GRC,SSP3,2100,0.868
GRL,SSP3,2025,0.844
GRL,SSP3,2030,0.844
GRL,SSP3,2050,0.844
GRL,SSP3,2100,0.844
GRD,SSP3,2025,0.359
GRD,SSP3,2030,0.359
GRD,SSP3,2050,0.359
GRD,SSP3,2100,0.359
GLP,SSP3,2025,0.984
GLP,SSP3,2030,0.984
GLP,SSP3,2050,0.984
GLP,SSP3,2100,0.984
GUM,SSP3,2025,0.941
GUM,SSP3,2030,0.941
GUM,SSP3,2050,0.941
GUM,SSP3,2100,0.941
GTM,SSP3,2025,0.534
GTM,SSP3,2030,0.551
GTM,SSP3,2050,0.615
GTM,SSP3,2100,0.743
GIN,SSP3,2025,0.401
GIN,SSP3,2030,0.422
GIN,SSP3,2050,0.499
GIN,SSP3,2100,0.666
GNB,SSP3,2025,0.401
GNB,SSP3,2030,0.401
GNB,SSP3,2050,0.401
GNB,SSP3,2100,0.401
HTI,SSP3,2025,0.549
HTI,SSP3,2030,0.571
HTI,SSP3,2050,0.653
HTI,SSP3,2100,0.779
HND,SSP3,2025,0.519
HND,SSP3,2030,0.519
HND,SSP3,2050,0.519
HND,SSP3,2100,0.519
HUN,SSP3,2025,0.689
HUN,SSP3,2030,0.689
HUN,SSP3,2050,0.689
HUN,SSP3,2100,0.689
ISL,SSP3,2025,0.936
ISL,SSP3,2030,0.936
ISL,SSP3,2050,0.936
ISL,SSP3,2100,0.936
IND,SSP3,2025,0.361
IND,SSP3,2030,0.38
IND,SSP3,2050,0.449
IND,SSP3,2100,0.615
IDN,SSP3,2025,0.573
IDN,SSP3,2030,0.596
IDN,SSP3,2050,0.677
IDN,SSP3,2100,0.793
IRN,SSP3,2025,0.751
IRN,SSP3,2030,0.762
IRN,SSP3,2050,0.798
IRN,SSP3,2100,0.849
IRQ,SSP3,2025,0.727
IRQ,SSP3,2030,0.736
IRQ,SSP3,2050,0.771
IRQ,SSP3,2100,0.829
IRL,SSP3,2025,0.615
IRL,SSP3,2030,0.615
IRL,SSP3,2050,0.615
IRL,SSP3,2100,0.615
ISR,SSP3,2025,0.918
ISR,SSP3,2030,0.918
ISR,SSP3,2050,0.918
ISR,SSP3,2100,0.918
ITA,SSP3,2025,0.721
ITA,SSP3,2030,0.731
ITA,SSP3,2050,0.767
ITA,SSP3,2100,0.827
JAM,SSP3,2025,0.537
JAM,SSP3,2030,0.537
JAM,SSP3,2050,0.537
JAM,SSP3,2100,0.537
JPN,SSP3,2025,0.933
JPN,SSP3,2030,0.94
JPN,SSP3,2050,0.962
JPN,SSP3,2100,0.992
JOR,SSP3,2025,0.861
JOR,SSP3,2030,0.861
JOR,SSP3,2050,0.861
JOR,SSP3,2100,0.861
KAZ,SSP3,2025,0.616
KAZ,SSP3,2030,0.633
KAZ,SSP3,2050,0.689
KAZ,SSP3,2100,0.784
KEN,SSP3,2025,0.291
KEN,SSP3,2030,0.308
KEN,SSP3,2050,0.383
KEN,SSP3,2100,0.561
KIR,SSP3,2025,0.474
KIR,SSP3,2030,0.474
KIR,SSP3,2050,0.474
KIR,SSP3,2100,0.474
KGZ,SSP3,2025,0.353
KGZ,SSP3,2030,0.353
KGZ,SSP3,2050,0.353
KGZ,SSP3,2100,0.353
LAO,SSP3,2025,0.301
LAO,SSP3,2030,0.301
LAO,SSP3,2050,0.301
LAO,SSP3,2100,0.301
LVA,SSP3,2025,0.678
LVA,SSP3,2030,0.678
LVA,SSP3,2050,0.678
LVA,SSP3,2100,0.678
LBN,SSP3,2025,0.873
LBN,SSP3,2030,0.873
LBN,SSP3,2050,0.873
LBN,SSP3,2100,0.873
LSO,SSP3,2025,0.248
LSO,SSP3,2030,0.248
LSO,SSP3,2050,0.248
LSO,SSP3,2100,0.248
LBR,SSP3,2025,0.478
LBR,SSP3,2030,0.478
LBR,SSP3,2050,0.478
LBR,SSP3,2100,0.478
LBY,SSP3,2025,0.781
LBY,SSP3,2030,0.781
LBY,SSP3,2050,0.781
LBY,SSP3,2100,0.781
LTU,SSP3,2025,0.668
LTU,SSP3,2030,0.668
LTU,SSP3,2050,0.668
LTU,SSP3,2100,0.668
LUX,SSP3,2025,0.885
LUX,SSP3,2030,0.885
LUX,SSP3,2050,0.885
LUX,SSP3,2100,0.885
MDG,SSP3,2025,0.382
MDG,SSP3,2030,0.403
MDG,SSP3,2050,0.483
MDG,SSP3,2100,0.655
MWI,SSP3,2025,0.201
MWI,SSP3,2030,0.218
MWI,SSP3,2050,0.287
MWI,SSP3,2100,0.464
MYS,SSP3,2025,0.755
MYS,SSP3,2030,0.768
MYS,SSP3,2050,0.806
MYS,SSP3,2100,0.861
MDV,SSP3,2025,0.364
MDV,SSP3,2030,0.364
MDV,SSP3,2050,0.364
MDV,SSP3,2100,0.364
MLI,SSP3,2025,0.431
MLI,SSP3,2030,0.453
MLI,SSP3,2050,0.54
MLI,SSP3,2100,0.699
MLT,SSP3,2025,0.941
MLT,SSP3,2030,0.941
MLT,SSP3,2050,0.941
MLT,SSP3,2100,0.941
MHL,SSP3,2025,0.736
MHL,SSP3,2030,0.736
MHL,SSP3,2050,0.736
MHL,SSP3,2100,0.736
MTQ,SSP3,2025,0.89
MTQ,SSP3,2030,0.89
MTQ,SSP3,2050,0.89
MTQ,SSP3,2100,0.89
MRT,SSP3,2025,0.466
MRT,SSP3,2030,0.466
MRT,SSP3,2050,0.466
MRT,SSP3,2100,0.466
MUS,SSP3,2025,0.416
MUS,SSP3,2030,0.416
MUS,SSP3,2050,0.416
MUS,SSP3,2100,0.416
MYT,SSP3,2025,0.49
MYT,SSP3,2030,0.49
MYT,SSP3,2050,0.49
MYT,SSP3,2100,0.49
MEX,SSP3,2025,0.802
MEX,SSP3,2030,0.809
MEX,SSP3,2050,0.829
MEX,SSP3,2100,0.893
MDA,SSP3,2025,0.426
MDA,SSP3,2030,0.426
MDA,SSP3,2050,0.426
MDA,SSP3,2100,0.426
MNG,SSP3,2025,0.676
MNG,SSP3,2030,0.676
MNG,SSP3,2050,0.676
MNG,SSP3,2100,0.676
MNE,SSP3,2025,0.641
MNE,SSP3,2030,0.641
MNE,SSP3,2050,0.641
MNE,SSP3,2100,0.641
MAR,SSP3,2025,0.636
MAR,SSP3,2030,0.652
MAR,SSP3,2050,0.705
MAR,SSP3,2100,0.792
MOZ,SSP3,2025,0.393
MOZ,SSP3,2030,0.418
MOZ,SSP3,2050,0.512
MOZ,SSP3,2100,0.691
MMR,SSP3,2025,0.34
MMR,SSP3,2030,0.358
MMR,SSP3,2050,0.429
MMR,SSP3,2100,0.596
NAM,SSP3,2025,0.416
NAM,SSP3,2030,0.416
NAM,SSP3,2050,0.416
NAM,SSP3,2100,0.416
NPL,SSP3,2025,0.23
NPL,SSP3,2030,0.252
NPL,SSP3,2050,0.344
NPL,SSP3,2100,0.556
NLD,SSP3,2025,0.9
NLD,SSP3,2030,0.908
NLD,SSP3,2050,0.94
NLD,SSP3,2100,0.984
NCL,SSP3,2025,0.671
NCL,SSP3,2030,0.671
NCL,SSP3,2050,0.671
NCL,SSP3,2100,0.671
NZL,SSP3,2025,0.862
NZL,SSP3,2030,0.862
NZL,SSP3,2050,0.862
NZL,SSP3,2100,0.862
NIC,SSP3,2025,0.569
NIC,SSP3,2030,0.569
NIC,SSP3,2050,0.569
NIC,SSP3,2100,0.569
NER,SSP3,2025,0.205
NER,SSP3,2030,0.221
NER,SSP3,2050,0.288
NER,SSP3,2100,0.464
NGA,SSP3,2025,0.508
NGA,SSP3,2030,0.532
NGA,SSP3,2050,0.612
NGA,SSP3,2100,0.754
NIU,SSP3,2025,0.387
NIU,SSP3,2030,0.387
NIU,SSP3,2050,0.387
NIU,SSP3,2100,0.387
MKD,SSP3,2025,0.571
MKD,SSP3,2030,0.571
MKD,SSP3,2050,0.571
MKD,SSP3,2100,0.571
MNP,SSP3,2025,0.909
MNP,SSP3,2030,0.909
MNP,SSP3,2050,0.909
MNP,SSP3,2100,0.909
NOR,SSP3,2025,0.791
NOR,SSP3,2030,0.791
NOR,SSP3,2050,0.791
NOR,SSP3,2100,0.791
OMN,SSP3,2025,0.752
OMN,SSP3,2030,0.752
OMN,SSP3,2050,0.752
OMN,SSP3,2100,0.752
PAK,SSP3,2025,0.404
PAK,SSP3,2030,0.423
PAK,SSP3,2050,0.492
PAK,SSP3,2100,0.656
PLW,SSP3,2025,0.748
PLW,SSP3,2030,0.748
PLW,SSP3,2050,0.748
PLW,SSP3,2100,0.748
PSE,SSP3,2025,0.741
PSE,SSP3,2030,0.741
PSE,SSP3,2050,0.741
PSE,SSP3,2100,0.741
PAN,SSP3,2025,0.651
PAN,SSP3,2030,0.651
PAN,SSP3,2050,0.651
PAN,SSP3,2100,0.651
PNG,SSP3,2025,0.13
PNG,SSP3,2030,0.13
PNG,SSP3,2050,0.13
PNG,SSP3,2100,0.13
PRY,SSP3,2025,0.593
PRY,SSP3,2030,0.593
PRY,SSP3,2050,0.593
PRY,SSP3,2100,0.593
PER,SSP3,2025,0.791
PER,SSP3,2030,0.799
PER,SSP3,2050,0.822
PER,SSP3,2100,0.878
PHL,SSP3,2025,0.507
PHL,SSP3,2030,0.524
PHL,SSP3,2050,0.59
PHL,SSP3,2100,0.731
POL,SSP3,2025,0.656
POL,SSP3,2030,0.671
POL,SSP3,2050,0.723
POL,SSP3,2100,0.8
PRT,SSP3,2025,0.656
PRT,SSP3,2030,0.671
PRT,SSP3,2050,0.723
PRT,SSP3,2100,0.8
PRI,SSP3,2025,0.938
PRI,SSP3,2030,0.938
PRI,SSP3,2050,0.938
PRI,SSP3,2100,0.938
QAT,SSP3,2025,0.985
QAT,SSP3,2030,0.985
QAT,SSP3,2050,0.985
QAT,SSP3,2100,0.985
ROU,SSP3,2025,0.587
ROU,SSP3,2030,0.603
ROU,SSP3,2050,0.665
ROU,SSP3,2100,0.772
RUS,SSP3,2025,0.765
RUS,SSP3,2030,0.772
RUS,SSP3,2050,0.798
RUS,SSP3,2100,0.848
RWA,SSP3,2025,0.235
RWA,SSP3,2030,0.258
RWA,SSP3,2050,0.356
RWA,SSP3,2100,0.586
REU,SSP3,2025,0.985
REU,SSP3,2030,0.985
REU,SSP3,2050,0.985
REU,SSP3,2100,0.985
KNA,SSP3,2025,0.313
KNA,SSP3,2030,0.313
KNA,SSP3,2050,0.313
KNA,SSP3,2100,0.313
SPM,SSP3,2025,0.899
SPM,SSP3,2030,0.899
SPM,SSP3,2050,0.899
SPM,SSP3,2100,0.899
VCT,SSP3,2025,0.49
VCT,SSP3,2030,0.49
VCT,SSP3,2050,0.49
VCT,SSP3,2100,0.49
WSM,SSP3,2025,0.201
WSM,SSP3,2030,0.201
WSM,SSP3,2050,0.201
WSM,SSP3,2100,0.201
SMR,SSP3,2025,0.957
SMR,SSP3,2030,0.957
SMR,SSP3,2050,0.957
SMR,SSP3,2100,0.957
STP,SSP3,2025,0.65
STP,SSP3,2030,0.65
STP,SSP3,2050,0.65
STP,SSP3,2100,0.65
SAU,SSP3,2025,0.845
SAU,SSP3,2030,0.851
SAU,SSP3,2050,0.889
SAU,SSP3,2100,0.958
SEN,SSP3,2025,0.491
SEN,SSP3,2030,0.508
SEN,SSP3,2050,0.575
SEN,SSP3,2100,0.721
SRB,SSP3,2025,0.55
SRB,SSP3,2030,0.55
SRB,SSP3,2050,0.55
SRB,SSP3,2100,0.55
SYC,SSP3,2025,0.533
SYC,SSP3,2030,0.533
SYC,SSP3,2050,0.533
SYC,SSP3,2100,0.533
SLE,SSP3,2025,0.389
SLE,SSP3,2030,0.389
SLE,SSP3,2050,0.389
SLE,SSP3,2100,0.389
SVK,SSP3,2025,0.547
SVK,SSP3,2030,0.547
SVK,SSP3,2050,0.547
SVK,SSP3,2100,0.547
SVN,SSP3,2025,0.527
SVN,SSP3,2030,0.527
SVN,SSP3,2050,0.527
SVN,SSP3,2100,0.527
SLB,SSP3,2025,0.2
SLB,SSP3,2030,0.2
SLB,SSP3,2050,0.2
SLB,SSP3,2100,0.2
SOM,SSP3,2025,0.452
SOM,SSP3,2030,0.47
SOM,SSP3,2050,0.541
SOM,SSP3,2100,0.697
ZAF,SSP3,2025,0.668
ZAF,SSP3,2030,0.683
ZAF,SSP3,2050,0.731
ZAF,SSP3,2100,0.806
KOR,SSP3,2025,0.844
KOR,SSP3,2030,0.851
KOR,SSP3,2050,0.892
KOR,SSP3,2100,0.961
SSD,SSP3,2025,0.225
SSD,SSP3,2030,0.24
SSD,SSP3,2050,0.309
SSD,SSP3,2100,0.484
ESP,SSP3,2025,0.806
ESP,SSP3,2030,0.812
ESP,SSP3,2050,0.833
ESP,SSP3,2100,0.894
LKA,SSP3,2025,0.229
LKA,SSP3,2030,0.245
LKA,SSP3,2050,0.313
LKA,SSP3,2100,0.491
SDN,SSP3,2025,0.394
SDN,SSP3,2030,0.415
SDN,SSP3,2050,0.492
SDN,SSP3,2100,0.661
SUR,SSP3,2025,0.663
SUR,SSP3,2030,0.663
SUR,SSP3,2050,0.663
SUR,SSP3,2100,0.663
SWE,SSP3,2025,0.851
SWE,SSP3,2030,0.851
SWE,SSP3,2050,0.851
SWE,SSP3,2100,0.851
CHE,SSP3,2025,0.736
CHE,SSP3,2030,0.736
CHE,SSP3,2050,0.736
CHE,SSP3,2100,0.736
SYR,SSP3,2025,0.605
SYR,SSP3,2030,0.621
SYR,SSP3,2050,0.681
SYR,SSP3,2100,0.78
TWN,SSP3,2025,0.784
TWN,SSP3,2030,0.793
TWN,SSP3,2050,0.824
TWN,SSP3,2100,0.885
TZA,SSP3,2025,0.356
TZA,SSP3,2030,0.381
TZA,SSP3,2050,0.477
TZA,SSP3,2100,0.671
THA,SSP3,2025,0.502
THA,SSP3,2030,0.521
THA,SSP3,2050,0.592
THA,SSP3,2100,0.731
TLS,SSP3,2025,0.277
TLS,SSP3,2030,0.277
TLS,SSP3,2050,0.277
TLS,SSP3,2100,0.277
TGO,SSP3,2025,0.375
TGO,SSP3,2030,0.375
TGO,SSP3,2050,0.375
TGO,SSP3,2100,0.375
TON,SSP3,2025,0.234
TON,SSP3,2030,0.234
TON,SSP3,2050,0.234
TON,SSP3,2100,0.234
TTO,SSP3,2025,0.54
TTO,SSP3,2030,0.54
TTO,SSP3,2050,0.54
TTO,SSP3,2100,0.54
TUN,SSP3,2025,0.714
TUN,SSP3,2030,0.728
TUN,SSP3,2050,0.768
TUN,SSP3,2100,0.828
TUR,SSP3,2025,0.752
TUR,SSP3,2030,0.765
TUR,SSP3,2050,0.8
TUR,SSP3,2100,0.85
TKM,SSP3,2025,0.485
TKM,SSP3,2030,0.485
TKM,SSP3,2050,0.485
TKM,SSP3,2100,0.485
TCA,SSP3,2025,0.902
TCA,SSP3,2030,0.902
TCA,SSP3,2050,0.902
TCA,SSP3,2100,0.902
TUV,SSP3,2025,0.548
TUV,SSP3,2030,0.548
TUV,SSP3,2050,0.548
TUV,SSP3,2100,0.548
UGA,SSP3,2025,0.259
UGA,SSP3,2030,0.282
UGA,SSP3,2050,0.371
UGA,SSP3,2100,0.572
UKR,SSP3,2025,0.723
UKR,SSP3,2030,0.732
UKR,SSP3,2050,0.768
UKR,SSP3,2100,0.827
ARE,SSP3,2025,0.841
ARE,SSP3,2030,0.841
ARE,SSP3,2050,0.841
ARE,SSP3,2100,0.841
GBR,SSP3,2025,0.828
GBR,SSP3,2030,0.833
GBR,SSP3,2050,0.849
GBR,SSP3,2100,0.924
USA,SSP3,2025,0.824
USA,SSP3,2030,0.829
USA,SSP3,2050,0.846
USA,SSP3,2100,0.917
VIR,SSP3,2025,0.946
VIR,SSP3,2030,0.946
VIR,SSP3,2050,0.946
VIR,SSP3,2100,0.946
URY,SSP3,2025,0.944
URY,SSP3,2030,0.944
URY,SSP3,2050,0.944
URY,SSP3,2100,0.944
UZB,SSP3,2025,0.56
UZB,SSP3,2030,0.576
UZB,SSP3,2050,0.641
UZB,SSP3,2100,0.759
VUT,SSP3,2025,0.245
VUT,SSP3,2030,0.245
VUT,SSP3,2050,0.245
VUT,SSP3,2100,0.245
VEN,SSP3,2025,0.906
VEN,SSP3,2030,0.913
VEN,SSP3,2050,0.945
VEN,SSP3,2100,0.986
VNM,SSP3,2025,0.356
VNM,SSP3,2030,0.375
VNM,SSP3,2050,0.446
VNM,SSP3,2100,0.613
ESH,SSP3,2025,0.863
ESH,SSP3,2030,0.863
ESH,SSP3,2050,0.863
ESH,SSP3,2100,0.863
YEM,SSP3,2025,0.387
YEM,SSP3,2030,0.409
YEM,SSP3,2050,0.495
YEM,SSP3,2100,0.666
ZMB,SSP3,2025,0.445
ZMB,SSP3,2030,0.463
ZMB,SSP3,2050,0.531
ZMB,SSP3,2100,0.688
ZWE,SSP3,2025,0.389
ZWE,SSP3,2030,0.407
ZWE,SSP3,2050,0.478
ZWE,SSP3,2100,0.645
AFG,SSP4,2025,0.289
AFG,SSP4,2030,0.306
AFG,SSP4,2050,0.378
AFG,SSP4,2100,0.549
ALB,SSP4,2025,0.601
ALB,SSP4,2030,0.627
ALB,SSP4,2050,0.718
ALB,SSP4,2100,0.842
DZA,SSP4,2025,0.744
DZA,SSP4,2030,0.763
DZA,SSP4,2050,0.815
DZA,SSP4,2100,0.921
ASM,SSP4,2025,0.915
ASM,SSP4,2030,0.926
ASM,SSP4,2050,0.96
ASM,SSP4,2100,0.999
AND,SSP4,2025,0.925
AND,SSP4,2030,0.935
AND,SSP4,2050,0.966
AND,SSP4,2100,0.999
AGO,SSP4,2025,0.69
AGO,SSP4,2030,0.718
AGO,SSP4,2050,0.797
AGO,SSP4,2100,0.921
ARG,SSP4,2025,0.939
ARG,SSP4,2030,0.948
ARG,SSP4,2050,0.973
ARG,SSP4,2100,0.999
ARM,SSP4,2025,0.701
ARM,SSP4,2030,0.72
ARM,SSP4,2050,0.78
ARM,SSP4,2100,0.883
AUS,SSP4,2025,0.897
AUS,SSP4,2030,0.909
AUS,SSP4,2050,0.947
AUS,SSP4,2100,0.997
AZE,SSP4,2025,0.611
AZE,SSP4,2030,0.636
AZE,SSP4,2050,0.721
AZE,SSP4,2100,0.838
BHS,SSP4,2025,0.849
BHS,SSP4,2030,0.855
BHS,SSP4,2050,0.911
BHS,SSP4,2100,0.989
BHR,SSP4,2025,0.922
BHR,SSP4,2030,0.932
BHR,SSP4,2050,0.963
BHR,SSP4,2100,0.999
BGD,SSP4,2025,0.405
BGD,SSP4,2030,0.44
BGD,SSP4,2050,0.572
BGD,SSP4,2100,0.792
BLR,SSP4,2025,0.796
BLR,SSP4,2030,0.808
BLR,SSP4,2050,0.847
BLR,SSP4,2100,0.956
BEL,SSP4,2025,0.992
BEL,SSP4,2030,0.994
BEL,SSP4,2050,0.999
BEL,SSP4,2100,1.0
BEN,SSP4,2025,0.508
BEN,SSP4,2030,0.533
BEN,SSP4,2050,0.619
BEN,SSP4,2100,0.765
BTN,SSP4,2025,0.459
BTN,SSP4,2030,0.498
BTN,SSP4,2050,0.629
BTN,SSP4,2100,0.821
BOL,SSP4,2025,0.731
BOL,SSP4,2030,0.749
BOL,SSP4,2050,0.802
BOL,SSP4,2100,0.908
BIH,SSP4,2025,0.54
BIH,SSP4,2030,0.567
BIH,SSP4,2050,0.668
BIH,SSP4,2100,0.821
BWA,SSP4,2025,0.714
BWA,SSP4,2030,0.74
BWA,SSP4,2050,0.815
BWA,SSP4,2100,0.938
BRA,SSP4,2025,0.888
BRA,SSP4,2030,0.902
BRA,SSP4,2050,0.944
BRA,SSP4,2100,0.997
VGB,SSP4,2025,0.545
VGB,SSP4,2030,0.576
VGB,SSP4,2050,0.684
VGB,SSP4,2100,0.831
BRN,SSP4,2025,0.793
BRN,SSP4,2030,0.804
BRN,SSP4,2050,0.84
BRN,SSP4,2100,0.949
BGR,SSP4,2025,0.776
BGR,SSP4,2030,0.789
BGR,SSP4,2050,0.83
BGR,SSP4,2100,0.939
BFA,SSP4,2025,0.321
BFA,SSP4,2030,0.346
BFA,SSP4,2050,0.444
BFA,SSP4,2100,0.653
BDI,SSP4,2025,0.152
BDI,SSP4,2030,0.169
BDI,SSP4,2050,0.246
BDI,SSP4,2100,0.453
CPV,SSP4,2025,0.701
CPV,SSP4,2030,0.725
CPV,SSP4,2050,0.796
CPV,SSP4,2100,0.911
KHM,SSP4,2025,0.276
KHM,SSP4,2030,0.302
KHM,SSP4,2050,0.411
KHM,SSP4,2100,0.678
CMR,SSP4,2025,0.611
CMR,SSP4,2030,0.639
CMR,SSP4,2050,0.736
CMR,SSP4,2100,0.851
CAN,SSP4,2025,0.836
CAN,SSP4,2030,0.844
CAN,SSP4,2050,0.896
CAN,SSP4,2100,0.981
CAF,SSP4,2025,0.441
CAF,SSP4,2030,0.459
CAF,SSP4,2050,0.529
CAF,SSP4,2100,0.687
TCD,SSP4,2025,0.271
TCD,SSP4,2030,0.289
TCD,SSP4,2050,0.357
TCD,SSP4,2100,0.531
CHL,SSP4,2025,0.911
CHL,SSP4,2030,0.921
CHL,SSP4,2050,0.957
CHL,SSP4,2100,0.999
CHN,SSP4,2025,0.59
CHN,SSP4,2030,0.62
CHN,SSP4,2050,0.722
CHN,SSP4,2100,0.849
COL,SSP4,2025,0.816
COL,SSP4,2030,0.826
COL,SSP4,2050,0.866
COL,SSP4,2100,0.968
COM,SSP4,2025,0.359
COM,SSP4,2030,0.386
COM,SSP4,2050,0.497
COM,SSP4,2100,0.736
COG,SSP4,2025,0.705
COG,SSP4,2030,0.725
COG,SSP4,2050,0.788
COG,SSP4,2100,0.896
CRI,SSP4,2025,0.776
CRI,SSP4,2030,0.791
CRI,SSP4,2050,0.836
CRI,SSP4,2100,0.948
HRV,SSP4,2025,0.629
HRV,SSP4,2030,0.653
HRV,SSP4,2050,0.734
HRV,SSP4,2100,0.846
CUB,SSP4,2025,0.801
CUB,SSP4,2030,0.812
CUB,SSP4,2050,0.846
CUB,SSP4,2100,0.956
CUW,SSP4,2025,0.932
CUW,SSP4,2030,0.941
CUW,SSP4,2050,0.969
CUW,SSP4,2100,0.999
CYP,SSP4,2025,0.739
CYP,SSP4,2030,0.756
CYP,SSP4,2050,0.806
CYP,SSP4,2100,0.911
CZE,SSP4,2025,0.776
CZE,SSP4,2030,0.787
CZE,SSP4,2050,0.827
CZE,SSP4,2100,0.939
CIV,SSP4,2025,0.564
CIV,SSP4,2030,0.592
CIV,SSP4,2050,0.692
CIV,SSP4,2100,0.832
COD,SSP4,2025,0.452
COD,SSP4,2030,0.47
COD,SSP4,2050,0.538
COD,SSP4,2100,0.692
DNK,SSP4,2025,0.909
DNK,SSP4,2030,0.919
DNK,SSP4,2050,0.956
DNK,SSP4,2100,0.999
DJI,SSP4,2025,0.806
