alpha3,scenario,year,fractionUrban
GEO,SSP1,2025,0.632
GEO,SSP1,2030,0.656
GEO,SSP1,2050,0.736
GEO,SSP1,2100,0.845
DEU,SSP1,2025,0.803
DEU,SSP1,2030,0.813
DEU,SSP1,2050,0.846
DEU,SSP1,2100,0.955
GHA,SSP1,2025,0.594
GHA,SSP1,2030,0.621
GHA,SSP1,2050,0.716
GHA,SSP1,2100,0.841
GRC,SSP1,2025,0.799
GRC,SSP1,2030,0.81
GRC,SSP1,2050,0.844
GRC,SSP1,2100,0.954
GRL,SSP1,2025,0.883
GRL,SSP1,2030,0.897
GRL,SSP1,2050,0.94
GRL,SSP1,2100,0.997
GRD,SSP1,2025,0.441
GRD,SSP1,2030,0.468
GRD,SSP1,2050,0.576
GRD,SSP1,2100,0.775
GLP,SSP1,2025,0.995
GLP,SSP1,2030,0.997
GLP,SSP1,2050,0.999
GLP,SSP1,2100,1.0
GUM,SSP1,2025,0.964
GUM,SSP1,2030,0.97
GUM,SSP1,2050,0.993
GUM,SSP1,2100,1.0
GTM,SSP1,2025,0.565
GTM,SSP1,2030,0.59
GTM,SSP1,2050,0.685
GTM,SSP1,2100,0.823
GIN,SSP1,2025,0.426
GIN,SSP1,2030,0.455
GIN,SSP1,2050,0.573
GIN,SSP1,2100,0.784
GNB,SSP1,2025,0.497
GNB,SSP1,2030,0.529
GNB,SSP1,2050,0.643
GNB,SSP1,2100,0.814
HTI,SSP1,2025,0.572
HTI,SSP1,2030,0.602
HTI,SSP1,2050,0.707
HTI,SSP1,2100,0.842
HND,SSP1,2025,0.604
HND,SSP1,2030,0.632
HND,SSP1,2050,0.724
HND,SSP1,2100,0.845
HUN,SSP1,2025,0.744
HUN,SSP1,2030,0.759
HUN,SSP1,2050,0.806
HUN,SSP1,2100,0.911
ISL,SSP1,2025,0.96
ISL,SSP1,2030,0.966
ISL,SSP1,2050,0.99
ISL,SSP1,2100,1.0
IND,SSP1,2025,0.391
IND,SSP1,2030,0.418
IND,SSP1,2050,0.527
IND,SSP1,2100,0.752
IDN,SSP1,2025,0.596
IDN,SSP1,2030,0.625
IDN,SSP1,2050,0.726
IDN,SSP1,2100,0.85
IRN,SSP1,2025,0.766
IRN,SSP1,2030,0.782
IRN,SSP1,2050,0.827
IRN,SSP1,2100,0.939
IRQ,SSP1,2025,0.745
IRQ,SSP1,2030,0.76
IRQ,SSP1,2050,0.807
IRQ,SSP1,2100,0.91
IRL,SSP1,2025,0.686
IRL,SSP1,2030,0.706
IRL,SSP1,2050,0.771
IRL,SSP1,2100,0.869
ISR,SSP1,2025,0.947
ISR,SSP1,2030,0.955
ISR,SSP1,2050,0.981
ISR,SSP1,2100,1.0
ITA,SSP1,2025,0.739
ITA,SSP1,2030,0.755
ITA,SSP1,2050,0.803
ITA,SSP1,2100,0.909
JAM,SSP1,2025,0.614
JAM,SSP1,2030,0.639
JAM,SSP1,2050,0.724
JAM,SSP1,2100,0.84
JPN,SSP1,2025,0.94
JPN,SSP1,2030,0.948
JPN,SSP1,2050,0.978
JPN,SSP1,2100,1.0
JOR,SSP1,2025,0.911
JOR,SSP1,2030,0.922
JOR,SSP1,2050,0.957
JOR,SSP1,2100,0.999
KAZ,SSP1,2025,0.643
KAZ,SSP1,2030,0.667
KAZ,SSP1,2050,0.743
KAZ,SSP1,2100,0.848
KEN,SSP1,2025,0.316
KEN,SSP1,2030,0.344
KEN,SSP1,2050,0.461
KEN,SSP1,2100,0.722
KIR,SSP1,2025,0.567
KIR,SSP1,2030,0.595
KIR,SSP1,2050,0.696
KIR,SSP1,2100,0.835
KGZ,SSP1,2025,0.435
KGZ,SSP1,2030,0.462
KGZ,SSP1,2050,0.57
KGZ,SSP1,2100,0.773
LAO,SSP1,2025,0.396
LAO,SSP1,2030,0.43
LAO,SSP1,2050,0.558
LAO,SSP1,2100,0.783
LVA,SSP1,2025,0.736
LVA,SSP1,2030,0.751
LVA,SSP1,2050,0.801
LVA,SSP1,2100,0.908
LBN,SSP1,2025,0.918
LBN,SSP1,2030,0.928
LBN,SSP1,2050,0.961
LBN,SSP1,2100,0.999
LSO,SSP1,2025,0.345
LSO,SSP1,2030,0.378
LSO,SSP1,2050,0.514
LSO,SSP1,2100,0.769
LBR,SSP1,2025,0.565
LBR,SSP1,2030,0.591
LBR,SSP1,2050,0.691
LBR,SSP1,2100,0.83
LBY,SSP1,2025,0.821
LBY,SSP1,2030,0.832
LBY,SSP1,2050,0.872
LBY,SSP1,2100,0.969
LTU,SSP1,2025,0.729
LTU,SSP1,2030,0.745
LTU,SSP1,2050,0.798
LTU,SSP1,2100,0.899
LUX,SSP1,2025,0.921
LUX,SSP1,2030,0.931
LUX,SSP1,2050,0.963
LUX,SSP1,2100,0.999
MDG,SSP1,2025,0.407
MDG,SSP1,2030,0.437
MDG,SSP1,2050,0.557
MDG,SSP1,2100,0.777
MWI,SSP1,2025,0.221
MWI,SSP1,2030,0.246
MWI,SSP1,2050,0.358
MWI,SSP1,2100,0.645
MYS,SSP1,2025,0.773
MYS,SSP1,2030,0.787
MYS,SSP1,2050,0.834
MYS,SSP1,2100,0.948
MDV,SSP1,2025,0.459
MDV,SSP1,2030,0.492
MDV,SSP1,2050,0.611
MDV,SSP1,2100,0.802
MLI,SSP1,2025,0.456
MLI,SSP1,2030,0.488
MLI,SSP1,2050,0.608
MLI,SSP1,2100,0.801
MLT,SSP1,2025,0.963
MLT,SSP1,2030,0.969
MLT,SSP1,2050,0.993
MLT,SSP1,2100,1.0
MHL,SSP1,2025,0.786
MHL,SSP1,2030,0.799
MHL,SSP1,2050,0.839
MHL,SSP1,2100,0.948
MTQ,SSP1,2025,0.928
MTQ,SSP1,2030,0.938
MTQ,SSP1,2050,0.967
MTQ,SSP1,2100,0.999
MRT,SSP1,2025,0.572
MRT,SSP1,2030,0.603
MRT,SSP1,2050,0.712
MRT,SSP1,2100,0.847
MUS,SSP1,2025,0.497
MUS,SSP1,2030,0.525
MUS,SSP1,2050,0.628
MUS,SSP1,2100,0.799
MYT,SSP1,2025,0.584
MYT,SSP1,2030,0.612
MYT,SSP1,2050,0.712
MYT,SSP1,2100,0.841
MEX,SSP1,2025,0.812
MEX,SSP1,2030,0.822
MEX,SSP1,2050,0.853
MEX,SSP1,2100,0.963
MDA,SSP1,2025,0.509
MDA,SSP1,2030,0.536
MDA,SSP1,2050,0.638
MDA,SSP1,2100,0.804
MNG,SSP1,2025,0.741
MNG,SSP1,2030,0.759
MNG,SSP1,2050,0.81
MNG,SSP1,2100,0.919
MNE,SSP1,2025,0.719
MNE,SSP1,2030,0.742
MNE,SSP1,2050,0.805
MNE,SSP1,2100,0.92
MAR,SSP1,2025,0.659
MAR,SSP1,2030,0.682
MAR,SSP1,2050,0.76
MAR,SSP1,2100,0.868
MOZ,SSP1,2025,0.417
MOZ,SSP1,2030,0.45
MOZ,SSP1,2050,0.578
MOZ,SSP1,2100,0.792
MMR,SSP1,2025,0.369
MMR,SSP1,2030,0.396
MMR,SSP1,2050,0.507
MMR,SSP1,2100,0.739
