scenario,year,alpha3,cattle,cattle_i,cattle_fgi,cattle_fge,cattle_foi,cattle_foe,cattle_e,buffaloes,buffaloes_i,buffaloes_fgi,buffaloes_fge,buffaloes_foi,buffaloes_foe,buffaloes_e,pigs,pigs_i,pigs_fgi,pigs_fge,pigs_foi,pigs_foe,pigs_e,poultry,poultry_i,poultry_fgi,poultry_fge,poultry_foi,poultry_foe,poultry_e,sheep,sheep_i,sheep_fgi,sheep_fge,sheep_foi,sheep_foe,sheep_e,goats,goats_i,goats_fgi,goats_fge,goats_foi,goats_foe,goats_e,horses,horses_i,horses_fgi,horses_fge,horses_foi,horses_foe,horses_e,asses,asses_i,asses_fgi,asses_fge,asses_foi,asses_foe,asses_e,mules,mules_i,mules_fgi,mules_fge,mules_foi,mules_foe,mules_e,camels,camels_i,camels_fgi,camels_fge,camels_foi,camels_foe,camels_e
SSP4,2100,AND,0,1.0,0.6,0.9,0.0,0.0,0.0,0,1.0,0.4,0.9,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0
SSP4,2100,ANT,292,0.632,0.7,0.95,0.0,0.0,0.368,0,0.75,0.45,0.95,0.0,0.0,0.25,3245,1.0,0.0,1.0,0.0,0.0,0.0,164137,1.0,0.0,1.0,0.0,0.0,0.0,15463,0.72,0.9,0.95,0.0,0.0,0.28,15463,0.72,0.9,0.95,0.0,0.0,0.28,0,0.4,0.9,0.95,0.0,0.0,0.6,2750,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6
SSP4,2100,ARE,202437,0.736,0.35,0.95,0.18,0.18,0.264,0,0.96,0.15,0.95,0.18,0.18,0.04,0,1.0,0.0,1.0,0.0,0.0,0.0,30434771,1.0,0.0,1.0,0.0,0.0,0.0,4650866,0.98,0.5,0.9,0.0,0.0,0.02,5100653,0.98,0.5,0.9,0.0,0.0,0.02,421,0.92,0.5,0.9,0.0,0.0,0.08,0,0.92,0.5,0.9,0.0,0.0,0.08,0,0.92,0.5,0.9,0.0,0.0,0.08,430372,0.92,0.5,0.9,0.0,0.0,0.08
SSP4,2100,ARG,73812822,0.741,0.7,0.95,0.0,0.0,0.259,0,0.68,0.45,0.95,0.0,0.0,0.32,5445031,1.0,0.0,1.0,0.0,0.0,0.0,152803225,1.0,0.0,1.0,0.0,0.0,0.0,27210560,0.699,0.9,0.95,0.0,0.0,0.301,9015239,0.699,0.9,0.95,0.0,0.0,0.301,2447307,0.4,0.9,0.95,0.0,0.0,0.6,99399,0.4,0.9,0.95,0.0,0.0,0.6,185301,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6
SSP4,2100,ARM,243414,1.0,0.6,1.0,0.08,0.08,0.0,720,1.0,0.5,1.0,0.08,0.08,0.0,154257,1.0,0.0,1.0,0.0,0.0,0.0,6088181,1.0,0.0,1.0,0.0,0.0,0.0,557679,1.0,0.9,1.0,0.0,0.0,0.0,15736,1.0,0.9,1.0,0.0,0.0,0.0,11430,1.0,0.9,1.0,0.0,0.0,0.0,3334,1.0,0.9,1.0,0.0,0.0,0.0,74,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0
SSP4,2100,ASM,91,0.364,0.75,1.0,0.0,0.0,0.636,0,0.12,0.6,1.0,0.0,0.0,0.88,14484,1.0,0.0,1.0,0.55,0.55,0.0,87347,1.0,0.0,1.0,0.0,0.0,0.0,0,0.364,0.8,0.9,0.0,0.0,0.636,0,0.364,0.8,0.9,0.0,0.0,0.636,0,0.18,0.8,0.9,0.0,0.0,0.82,0,0.18,0.8,0.9,0.0,0.0,0.82,0,0.18,0.8,0.9,0.0,0.0,0.82,0,0.18,0.8,0.9,0.0,0.0,0.82
SSP4,2100,ATF,0,0.364,0.75,1.0,0.0,0.0,0.636,0,0.12,0.6,1.0,0.0,0.0,0.88,0,1.0,0.0,1.0,0.55,0.55,0.0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.364,0.8,0.9,0.0,0.0,0.636,0,0.364,0.8,0.9,0.0,0.0,0.636,0,0.18,0.8,0.9,0.0,0.0,0.82,0,0.18,0.8,0.9,0.0,0.0,0.82,0,0.18,0.8,0.9,0.0,0.0,0.82,0,0.18,0.8,0.9,0.0,0.0,0.82
SSP4,2100,ATG,1714,0.632,0.7,0.95,0.0,0.0,0.368,0,0.75,0.45,0.95,0.0,0.0,0.25,5659,1.0,0.0,1.0,0.0,0.0,0.0,158910,1.0,0.0,1.0,0.0,0.0,0.0,12287,0.72,0.9,0.95,0.0,0.0,0.28,41203,0.72,0.9,0.95,0.0,0.0,0.28,493,0.4,0.9,0.95,0.0,0.0,0.6,1702,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6,0,0.4,0.9,0.95,0.0,0.0,0.6
SSP4,2100,AUS,27193967,0.364,0.75,1.0,0.0,0.0,0.636,0,0.12,0.6,1.0,0.0,0.0,0.88,3134193,1.0,0.0,1.0,0.55,0.55,0.0,198633510,1.0,0.0,1.0,0.0,0.0,0.0,85866955,0.364,0.8,0.9,0.0,0.0,0.636,5844971,0.364,0.8,0.9,0.0,0.0,0.636,272739,0.18,0.8,0.9,0.0,0.0,0.82,1957,0.18,0.8,0.9,0.0,0.0,0.82,0,0.18,0.8,0.9,0.0,0.0,0.82,0,0.18,0.8,0.9,0.0,0.0,0.82
SSP4,2100,AUT,1292148,1.0,0.6,0.9,0.0,0.0,0.0,0,1.0,0.4,0.9,0.0,0.0,0.0,2419774,1.0,0.0,1.0,0.0,0.0,0.0,20112611,1.0,0.0,1.0,0.0,0.0,0.0,277253,1.0,0.9,1.0,0.0,0.0,0.0,67948,1.0,0.9,1.0,0.0,0.0,0.0,89782,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0,0,1.0,0.9,1.0,0.0,0.0,0.0
